sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,Undertone,popularity,info,highlight,id,PrimaryColorFamily,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Value,Color Family,Tone,language,Opacity
"['Easter Bonnet', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-70/easter-bonnet,Easter Bonnet 2074-70 | Benjamin Moore,Color,2074-70,"A bright, crisp lilac sweetened with a dose of pink.",09277afade66249ec8629e78385a1f7b22920d86,Light,Warm,F5E3EF,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-easter-bonnet-2074-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-70/easter-bonnet,2024-07-21T20:43:03Z,2024-07-21T20:43:03Z,Easter Bonnet,Pink,1,,"{'title': '<em>Easter</em> <em>Bonnet</em> 2074-70 | Benjamin Moore', 'sections': '<em>Easter</em> <em>Bonnet</em>', 'color_name': '<em>Easter</em> <em>Bonnet</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-70&#x2F;<em>easter</em>-<em>bonnet</em>'}",6242ffa028ccbc2ec2ddb2f4,,,,,,,,,,,,,,
"['Bunny Nose Pink', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-60/bunny-nose-pink,Bunny Nose Pink 2074-60 | Benjamin Moore,Color,2074-60,"Frothy and sweet, this pinkish lavender effortlessly charms.",cbdaaadae6764c2c2063d8a397d80173122197d1,Light,Warm,EDCDE6,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-bunny-nose-pink-2074-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-60/bunny-nose-pink,2024-07-21T20:32:51Z,2024-07-21T20:32:50Z,Bunny Nose Pink,Pink,1,,"{'title': '<em>Bunny</em> <em>Nose</em> <em>Pink</em> 2074-60 | Benjamin Moore', 'sections': '<em>Bunny</em> <em>Nose</em> <em>Pink</em>', 'description': 'Frothy and sweet, this <em>pinkish</em> lavender effortlessly charms.', 'color_name': '<em>Bunny</em> <em>Nose</em> <em>Pink</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-60&#x2F;<em>bunny</em>-<em>nose</em>-<em>pink</em>', 'Undertone': '<em>Pink</em>'}",63dfa58364441f69d3d1edf7,,,,,,,,,,,,,,
"['Exotic Fuchsia', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-50/exotic-fuchsia,Exotic Fuchsia 2074-50 | Benjamin Moore,Color,2074-50,A bubbly pinkish purple that conjures the vibrant beauty of a tropical paradise.,d318590eb5a6e47fee2de16d0483adbca1ec1cfb,Medium,Warm,DCACD3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-exotic-fuchsia-2074-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-50/exotic-fuchsia,2024-07-21T20:43:05Z,2024-07-21T20:43:04Z,Exotic Fuchsia,Pink,1,,"{'title': '<em>Exotic</em> <em>Fuchsia</em> 2074-50 | Benjamin Moore', 'sections': '<em>Exotic</em> <em>Fuchsia</em>', 'color_name': '<em>Exotic</em> <em>Fuchsia</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-50&#x2F;<em>exotic</em>-<em>fuchsia</em>'}",6242ff93196a675ace895b32,,,,,,,,,,,,,,
"['Lilac Pink', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-40/lilac-pink,Lilac Pink 2074-40 | Benjamin Moore,Color,2074-40,A muted magenta hue that brings a flowery pop of color to any space.,bcb5c34e50e1fe23a05e0162c5551b680487c93b,Medium,Warm,C280B4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-lilac-pink-2074-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-40/lilac-pink,2024-07-21T20:42:29Z,2024-07-21T20:42:28Z,Lilac Pink,,1,,"{'title': '<em>Lilac</em> <em>Pink</em> 2074-40 | Benjamin Moore', 'sections': '<em>Lilac</em> <em>Pink</em>', 'color_name': '<em>Lilac</em> <em>Pink</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-40&#x2F;<em>lilac</em>-<em>pink</em>'}",624305d728ccbc2c02ddb512,,,,,,,,,,,,,,
"['Twilight Magenta', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-30/twilight-magenta,Twilight Magenta 2074-30 | Benjamin Moore,Color,2074-30,An attractive pinkish purple that conjures the last traces of color in the sky as the sun slips past the horizon.,d81301d4971509e9d85aff5d40f196e49b482f80,Dark,Warm,9B4A80,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-twilight-magenta-2074-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-30/twilight-magenta,2024-07-21T20:28:13Z,2024-07-21T20:28:12Z,Twilight Magenta,,1,,"{'title': '<em>Twilight</em> <em>Magenta</em> 2074-30 | Benjamin Moore', 'sections': '<em>Twilight</em> <em>Magenta</em>', 'color_name': '<em>Twilight</em> <em>Magenta</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-30&#x2F;<em>twilight</em>-<em>magenta</em>'}",624305ff196a67b1b1895e30,,,,,,,,,,,,,,
"['Summer Plum', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2074-20/summer-plum,Summer Plum 2074-20 | Benjamin Moore,Color,2074-20,A reddish violet that conjures the velvety rich flesh of the juiciest plum.,56e048b5e43c10cffbd2edc0d5d0d823bdcda824,Dark,Warm,7B3C63,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-summer-plum-2074-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2074-20/summer-plum,2024-07-21T20:34:02Z,2024-07-21T20:34:01Z,Summer Plum,,1,,"{'title': '<em>Summer</em> <em>Plum</em> 2074-20 | Benjamin Moore', 'sections': '<em>Summer</em> <em>Plum</em>', 'description': 'A reddish violet that conjures the velvety rich flesh of the juiciest <em>plum</em>.', 'color_name': '<em>Summer</em> <em>Plum</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2074-20&#x2F;<em>summer</em>-<em>plum</em>'}",6242d627196a67a885894750,,,,,,,,,,,,,,
"['Elderberry Wine', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/csp-470/elderberry-wine,Elderberry Wine CSP-470 | Benjamin Moore,Color,CSP-470,"Take a deep drink of this rich, intoxicating wine. Let its secret potion lull you into a romantic trance.",8691199e498d73da7aa549fc4a05b54c10172416,Dark,Warm,602E4E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-181-elderberry-wine-CSP-470-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-470/elderberry-wine,2024-07-21T20:32:51Z,2024-07-20T15:36:20Z,Elderberry Wine,,1,,"{'title': '<em>Elderberry</em> <em>Wine</em> CSP-470 | Benjamin Moore', 'sections': '<em>Elderberry</em> <em>Wine</em>', 'description': 'Take a deep drink of this rich, intoxicating <em>wine</em>. Let its secret potion lull you into a romantic trance.', 'color_name': '<em>Elderberry</em> <em>Wine</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;csp-470&#x2F;<em>elderberry</em>-<em>wine</em>'}",62473560e7b9d2636d0f3bff,,,,,,,,,,,,,,
"['Charming Pink', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2075-70/charming-pink,Charming Pink 2075-70 | Benjamin Moore,Color,2075-70,A delicate pink brightened with a hit of lilac.,e9731c8baf557842bdd929ca9d660686b164df58,Light,Warm,F6E3EF,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-178-charming-pink-2075-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2075-70/charming-pink,2024-07-21T19:58:21Z,2024-07-21T19:58:21Z,Charming Pink,Pink,1,,"{'title': '<em>Charming</em> <em>Pink</em> 2075-70 | Benjamin Moore', 'sections': '<em>Charming</em> <em>Pink</em>', 'description': 'A delicate <em>pink</em> brightened with a hit of lilac.', 'color_name': '<em>Charming</em> <em>Pink</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2075-70&#x2F;<em>charming</em>-<em>pink</em>', 'Undertone': '<em>Pink</em>'}",624313cbe7b9d2016d0f4133,,,,,,,,,,,,,,
"['Passion Pink', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2075-60/passion-pink,Passion Pink 2075-60 | Benjamin Moore,Color,2075-60,A cool violet cast brings a sharp edge to this petal-soft pink.,27061cc4c14bb028f8bafd75cf68aa84a7cba841,Light,Warm,EDCCE4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-178-passion-pink-2075-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2075-60/passion-pink,2024-07-21T20:21:35Z,2024-07-21T20:21:34Z,Passion Pink,Pink,1,,"{'title': '<em>Passion</em> <em>Pink</em> 2075-60 | Benjamin Moore', 'sections': '<em>Passion</em> <em>Pink</em>', 'description': 'A cool violet cast brings a sharp edge to this petal-soft <em>pink</em>.', 'color_name': '<em>Passion</em> <em>Pink</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2075-60&#x2F;<em>passion</em>-<em>pink</em>', 'Undertone': '<em>Pink</em>'}",6242ff7de7b9d2308b0f403c,,,,,,,,,,,,,,
"['Pink Taffy', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2075-50/pink-taffy,Pink Taffy 2075-50 | Benjamin Moore,Color,2075-50,Bubbly pink and light purple tones come together in this irresistible candy-like concoction.,3dabae196cc64e6ac23e9f33ac0d5493b11da93c,Medium,Warm,DFAAD1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-178-pink-taffy-2075-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2075-50/pink-taffy,2024-07-21T20:45:04Z,2024-07-21T20:45:04Z,Pink Taffy,Pink,1,,"{'title': '<em>Pink</em> <em>Taffy</em> 2075-50 | Benjamin Moore', 'sections': '<em>Pink</em> <em>Taffy</em>', 'description': 'Bubbly <em>pink</em> and light purple tones come together in this irresistible candy-like concoction.', 'color_name': '<em>Pink</em> <em>Taffy</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2075-50&#x2F;<em>pink</em>-<em>taffy</em>', 'Undertone': '<em>Pink</em>'}",624313cc28ccbcd4edddb42a,,,,,,,,,,,,,,
