image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,PrimaryColorFamily,language,Undertone,Family,Shade,Interior/Exterior,cdp,Color Collection,Mood,Project,Style,Opacity,Value,Color Family,cleaned_name,Tone
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-019-caliente-AF-290-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-290/caliente,"['Caliente', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-290/caliente,2024-07-21T23:34:03Z,Caliente AF-290 | Benjamin Moore,2024-07-21T23:34:03Z,Color,"A charismatic, classic shade of red that is radiant and full of energy.",87eb01f88fbf7d68caee640bdfc86a86167c6976,1,,"{'description': 'A charismatic, classic shade of <em>red</em> that is radiant and full of energy.', 'PrimaryColorFamily': '<em>Red</em>'}",6241fee764441f243d003c83,AF-290,Dark,Warm,8A2728,Caliente,Red,,,,,,,,,,,,,,Caliente,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-003-dinner-party-AF-300-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-300/dinner-party,"['Dinner Party', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-300/dinner-party,2024-07-21T23:39:52Z,Dinner Party AF-300 | Benjamin Moore,2024-07-21T23:39:52Z,Color,"A deep, understated red that can be used in everyday spaces, as well as those reserved for special occasions.",5dba8a688cdd0bd12c6b2c7791ee934a5a63c97d,1,,"{'description': 'A deep, understated <em>red</em> that can be used in everyday spaces, as well as those reserved for special occasions.', 'PrimaryColorFamily': '<em>Red</em>'}",62427c20196a67e8a9895a10,AF-300,Dark,Warm,763637,Dinner Party,Red,,,,,,,,,,,,,,Dinner Party,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-003-new-london-burgundy-HC-61-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-61/new-london-burgundy,"['New London Burgundy', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-61/new-london-burgundy,2024-07-21T23:58:04Z,New London Burgundy HC-61 | Benjamin Moore,2024-07-21T23:58:03Z,Color,"A distinguished, deep red with violet undertones.",1ed55b97c8faa1b72b5d0a6b27e23c2d2d62dcd3,1,,"{'description': 'A distinguished, deep <em>red</em> with violet undertones.', 'PrimaryColorFamily': '<em>Red</em>'}",62423482196a67924b894a70,HC-61,Dark,Warm,754B4E,New London Burgundy,Red,,,,,,,,,,,,,,New London Burgundy,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-009-million-dollar-red-2003-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2003-10/million-dollar-red,"['Million Dollar Red', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2003-10/million-dollar-red,2024-07-21T23:48:53Z,Million Dollar Red 2003-10 | Benjamin Moore,2024-07-21T23:48:53Z,Color,A signature red for interiors that perfectly balances boldness and understatement.,6300df03dd4cecc0ff72ae7104d542d658a22607,1,,"{'title': 'Million Dollar <em>Red</em> 2003-10 | Benjamin Moore', 'sections': 'Million Dollar <em>Red</em>', 'description': 'A signature <em>red</em> for interiors that perfectly balances boldness and understatement.', 'color_name': 'Million Dollar <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2003-10&#x2F;million-dollar-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",62425f2b28ccbc664fdda802,2003-10,Dark,Warm,B5332C,Million Dollar Red,Red,,,,,,,,,,,,,,Million Dollar Red,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-014-garrison-red-HC-66-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-66/garrison-red,"['Garrison Red', 'Matching Colors', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-66/garrison-red,2024-07-21T21:26:13Z,Garrison Red HC-66 | Benjamin Moore,2024-07-21T21:26:13Z,Color,Muted yet balanced undertones that go from brick to violet make this an essential red.,12b374ca867d58775d24debdce036e52072670c2,1,,"{'title': 'Garrison <em>Red</em> HC-66 | Benjamin Moore', 'sections': 'Garrison <em>Red</em>', 'description': 'Muted yet balanced undertones that go from brick to violet make this an essential <em>red</em>.', 'color_name': 'Garrison <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-66&#x2F;garrison-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",62439f49e7b9d28da30f5f59,HC-66,Dark,Warm,8C5956,Garrison Red,Red,,Brown,,,,,,,,,,,,Garrison Red,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-014-hodley-red-HC-65-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-65/hodley-red,"['Hodley Red', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-65/hodley-red,2024-07-22T01:15:32Z,Hodley Red HC-65 | Benjamin Moore,2024-07-22T01:15:32Z,Color,A deep red with versatile undertones that shift from an elegant purple to a comfortable brown.,69e61f2427d0f96fa81d1d7f3e9ba8fd5249988c,1,,"{'title': 'Hodley <em>Red</em> HC-65 | Benjamin Moore', 'sections': 'Hodley <em>Red</em>', 'description': 'A deep <em>red</em> with versatile undertones that shift from an elegant purple to a comfortable brown.', 'color_name': 'Hodley <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-65&#x2F;hodley-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",6242c71628ccbc98b2ddb27f,HC-65,Dark,Warm,774D4A,Hodley Red,Red,,Brown,,,,,,,,,,,,Hodley Red,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-015-brick-red-2084-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2084-10/brick-red,"['Brick Red', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2084-10/brick-red,2024-07-21T22:39:01Z,Brick Red 2084-10 | Benjamin Moore,2024-07-21T22:39:00Z,Color,"Rich, saturated color gives this red decorative appeal, while brown and orange tones bring out its utilitarian side.",75e39addf35e664773427f9a98bc846d8f3472c3,1,,"{'title': 'Brick <em>Red</em> 2084-10 | Benjamin Moore', 'sections': 'Brick <em>Red</em>', 'description': 'Rich, saturated color gives this <em>red</em> decorative appeal, while brown and orange tones bring out its utilitarian side.', 'color_name': 'Brick <em>Red</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2084-10&#x2F;brick-<em>red</em>', 'PrimaryColorFamily': '<em>Red</em>'}",62426d6c64441fbb3c004eb7,2084-10,Dark,Warm,793B31,Brick Red,Red,,Brown,,,,,,,,,,,,Brick Red,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-045-georgian-brick-HC-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-50/georgian-brick,"['Georgian Brick', 'Matching Colors', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-50/georgian-brick,2024-07-21T21:29:23Z,Georgian Brick HC-50 | Benjamin Moore,2024-07-21T21:29:23Z,Color,A foundational reddish brown that looks at home in rustic or sophisticated spaces.,93ece35b4e3a133959f0571babdc2cadd82238cb,1,,"{'description': 'A foundational <em>reddish</em> brown that looks at home in rustic or sophisticated spaces.', 'PrimaryColorFamily': '<em>Red</em>'}",6242f180e7b9d229530f6250,HC-50,Dark,Warm,985949,Georgian Brick,Red,,,,,,,,,,,,,,Georgian Brick,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/red-paint-017-deep-rose-2004-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-10/deep-rose,"['Deep Rose', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2004-10/deep-rose,2024-07-21T22:13:36Z,Deep Rose 2004-10 | Benjamin Moore,2024-07-21T22:13:36Z,Color,Subtle russet notes bring out the sophisticated side of this rich shade of red.,58b2f45045f034b0a77eaf3d6aaba8e3ed646556,1,,"{'description': 'Subtle russet notes bring out the sophisticated side of this rich shade of <em>red</em>.', 'PrimaryColorFamily': '<em>Red</em>'}",6242d0e028ccbc3eacdda5aa,2004-10,Dark,Warm,A0372F,Deep Rose,Red,,Brown,,,,,,,,,,,,Deep Rose,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-005-raspberry-blush-2008-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2008-30/raspberry-blush,"['Raspberry Blush', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2008-30/raspberry-blush,2024-07-21T21:24:32Z,Raspberry Blush 2008-30 | Benjamin Moore,2024-07-21T21:24:32Z,Color,"A vivacious shade of coral tinged with pink, this electric hue is the definition of charismatic color.",25194233f62b54d5d691ef87213be1d958187109,1,,{},63437a36196a67d0d07dd45a,2008-30,Medium,Warm,D75F56,Raspberry Blush,Orange,,,,,,,,,,,,,,Raspberry Blush,
