image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection,Style,PrimaryColorFamily,Value,Color Family
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-blue/blue_hero_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors/blue,['Blue Paint Colors'],/en-us/paint-colors/blue,2024-08-05T18:42:03Z,Blue Paint Colors  | Benjamin Moore,2024-07-04T18:48:38Z,Color,"Explore the Benjamin Moore Blue paint colors which are highly versatile, and are a perfect choice for any room. Slate and blue-grays can act as a neutral when paired with brighter colors, or stand on their own for a sophisticated look with cream, white and wood tones.  Discover our wide array of Blu",04d1cbf9a659a559067cd3684e81cce7d890646c,1,,"{'title': '<em>Blue</em> Paint Colors  | Benjamin Moore', 'sections': '<em>Blue</em> Paint Colors', 'description': 'Explore the Benjamin Moore <em>Blue</em> paint colors which are highly versatile, and are a perfect choice for any room. Slate and <em>blue</em>-grays can act as a neutral when paired with brighter colors, or stand on their own for a sophisticated look with cream, white and wood tones.  Discover our wide array of Blu', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>blue</em>'}",62f698d0e7b9d27db10e44a6,,,,,,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-130-hale-navy-HC-154-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-154/hale-navy,"['Hale Navy', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-154/hale-navy,2024-07-21T20:55:34Z,Hale Navy HC-154 | Benjamin Moore,2024-07-21T20:55:33Z,Color,A use-anywhere shade of navy with a classic maritime feel.,a946b02ce2d4c5a7cce8d7e7e344c5f39a882f04,1,,{},62425b0b196a67bb0a8960a3,HC-154,Dark,Cool,434B56,Hale Navy,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-136-van-deusen-blue-HC-156-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-156/van-deusen-blue,"['Van Deusen Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-156/van-deusen-blue,2024-07-21T21:34:58Z,Van Deusen Blue HC-156 | Benjamin Moore,2024-07-21T21:34:58Z,Color,A foundational blue color that fits easily into both traditional and modern spaces.,63556063f509b8f5d9c434182dc7cdb515ebc19e,1,,"{'title': 'Van Deusen <em>Blue</em> HC-156 | Benjamin Moore', 'sections': 'Van Deusen <em>Blue</em>', 'description': 'A foundational <em>blue</em> color that fits easily into both traditional and modern spaces.', 'color_name': 'Van Deusen <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-156&#x2F;van-deusen-<em>blue</em>'}",62426b3928ccbc0f21dd9ee8,HC-156,Dark,Cool,485B6E,Van Deusen Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-125-smoke-2122-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2122-40/smoke,"['Smoke', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2122-40/smoke,2024-07-21T22:18:05Z,Smoke 2122-40 | Benjamin Moore,2024-07-21T22:18:05Z,Color,A versatile medium gray softened with attractive blue-green undertones.,7dc596209cb0cfb6c26015f770e6a8258e86077a,1,,{'description': 'A versatile medium gray softened with attractive <em>blue</em>-green undertones.'},624295b1196a6716108954b0,2122-40,Medium,Cool,BAC8C9,Smoke,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-117-palladian-blue-HC-144-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-144/palladian-blue,"['Palladian Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-144/palladian-blue,2024-07-21T20:34:01Z,Palladian Blue HC-144 | Benjamin Moore,2024-07-21T20:34:00Z,Color,"All is calm with this soft, airy blue that conjures clear skies and flecks of mother of pearl.",d4b4a8797dd71ef459807c16fa324ca2af22d10b,1,,"{'title': 'Palladian <em>Blue</em> HC-144 | Benjamin Moore', 'sections': 'Palladian <em>Blue</em>', 'description': 'All is calm with this soft, airy <em>blue</em> that conjures clear skies and flecks of mother of pearl.', 'color_name': 'Palladian <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-144&#x2F;palladian-<em>blue</em>'}",6242db8028ccbcc099dd966a,HC-144,Light,Cool,C1D1C9,Palladian Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-117-wedgewood-gray-HC-146-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-146/wedgewood-gray,"['Wedgewood Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-146/wedgewood-gray,2024-07-22T00:33:26Z,Wedgewood Gray HC-146 | Benjamin Moore,2024-07-22T00:33:25Z,Color,A classic soft blue with endless versatility.,50919b5c8baff93b62916b7d5e99df1ad9ba81eb,1,,{'description': 'A classic soft <em>blue</em> with endless versatility.'},62429862e7b9d2d01d0f60b3,HC-146,Medium,Cool,ACBFBD,Wedgewood Gray,Gray,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-142-champion-cobalt-2061-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2061-20/champion-cobalt,"['Champion Cobalt', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2061-20/champion-cobalt,2024-07-22T00:20:15Z,Champion Cobalt 2061-20 | Benjamin Moore,2024-07-22T00:20:15Z,Color,A hint of teal adds intrigue to this deep royal blue.,6eca8311aa2a5fa4ff5742b7bcbbbb83f68497a9,1,,{'description': 'A hint of teal adds intrigue to this deep royal <em>blue</em>.'},624297d964441ffe9f005d95,2061-20,Dark,Cool,264864,Champion Cobalt,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-141-symphony-blue-2060-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2060-10/symphony-blue,"['Symphony Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2060-10/symphony-blue,2024-07-22T00:18:42Z,Symphony Blue 2060-10 | Benjamin Moore,2024-07-22T00:18:42Z,Color,A classic shade of navy with a majestic presence.,8d56f69452d241b27ae65541591a56a028aee7bc,1,,"{'title': 'Symphony <em>Blue</em> 2060-10 | Benjamin Moore', 'sections': 'Symphony <em>Blue</em>', 'color_name': 'Symphony <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2060-10&#x2F;symphony-<em>blue</em>'}",6242f0d8e7b9d276590f4bd6,2060-10,Dark,Cool,203B5D,Symphony Blue,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-168-breath-of-fresh-air-806-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/806/breath-of-fresh-air,"['Breath of Fresh Air', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/806/breath-of-fresh-air,2024-07-22T00:18:43Z,Breath of Fresh Air 806 | Benjamin Moore,2024-07-22T00:18:43Z,Color,"Like an exhale, this light blue provides soothing relief.",93b7d13f240d46edc15700e3696a7bd76319653e,1,,"{'description': 'Like an exhale, this light <em>blue</em> provides soothing relief.'}",6241fe4d64441fbb4a005186,806,Light,Cool,C9DDE5,Breath of Fresh Air,,,,,,,,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-blue/blue_hero_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/blue-paint-colors,"['Blue Paint Color by Family', 'Serenity, tranquility and calm. Ocean, sea and sky. The popularity of blue is palpable. From inspiration online, to advice from experts in-store, let us help you find the best blue paint colors for any project.', 'Warm + Cool + Most Popular Paint Colors', 'Choosing Blue Paint Colors: Consider the Room', 'Go Bold with Blue', 'Accent on Blue', 'The Allure of Blue-Gray Paint', 'Exteriors in Shades of Blue', 'Buy a Paint Sample', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/blue-paint-colors,2024-08-03T18:30:41Z,Blue Paint Ideas | Benjamin Moore,2024-07-20T18:33:17Z,Color,Get ideas on how to use blue paint colors and give your home serene tranquility from the experts at Benjamin Moore.,59bc01379a087fd6741136c32b442e6cacd26d57,1,,"{'title': '<em>Blue</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Blue</em> Paint Color by Family', 'description': 'Get ideas on how to use <em>blue</em> paint colors and give your home serene tranquility from the experts at Benjamin Moore.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>blue</em>-paint-colors'}",5d4dbf1e196a67a9f5bec4c5,,,,,,,en-us,,,,,,,,,,,
