sections,page_path,title,type,color_number,description,external_id,color_hex,image,url,published_at,Family,Shade,updated_at,color_name,Interior/Exterior,cdp,Color Collection,popularity,info,highlight,id,ColorValue,WarmCool,Undertone,Mood,Project,Style,language
"['Aruba Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2048-30/aruba-blue,Aruba Blue 2048-30 | Benjamin Moore,Color,2048-30,A turquoise-tinged shade of green that mirrors glistening ocean waters under the hot summer sun.,ba1a00fb0d5aeb724e3de969f2a1ec4145163fa7,008B84,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-122-aruba-blue-2048-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2048-30/aruba-blue,2024-07-31T03:00:59Z,Blue,Dark,2024-07-03T12:45:06Z,Aruba Blue,"['Interior', 'Exterior']",true,Color Preview&reg;,1,,"{'title': 'Aruba <em>Blue</em> 2048-30 | Benjamin Moore', 'sections': 'Aruba <em>Blue</em>', 'color_name': 'Aruba <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2048-30&#x2F;aruba-<em>blue</em>', 'Family': '<em>Blue</em>'}",6243195f64441ff1110038d4,,,,,,,
"['Blue Note', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/2129-30/blue-note,Blue Note 2129-30 | Benjamin Moore,Color,2129-30,A lighter shade of black with alluring navy undertones.,f6c62a7c046cf519fdf9d63e384c4afc5d4e4f33,404B54,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-242-blue-note-2129-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2129-30/blue-note,2024-07-22T00:29:27Z,,,2024-07-22T00:29:27Z,Blue Note,,,,1,,"{'title': '<em>Blue</em> Note 2129-30 | Benjamin Moore', 'sections': '<em>Blue</em> Note', 'color_name': '<em>Blue</em> Note', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2129-30&#x2F;<em>blue</em>-note'}",62425b0b196a67782a8959f9,Dark,Cool,Gray,,,,
"['Williamsburg Wythe Blue', 'Matching Colors', 'Color By Family']",/en-us/paint-colors/color/cw-590/williamsburg-wythe-blue,Williamsburg Wythe Blue CW-590 | Benjamin Moore,Color,CW-590,"A classic that never goes out of style, this beautiful hybrid blue pairs a hint of Prussian blue with a gray base paint.",5fa685b78c67538d46915e9d83ccbc04fc71efd6,7E9EA0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-118-williamsburg-wythe-blue-CW-590-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cw-590/williamsburg-wythe-blue,2024-07-22T01:09:48Z,,,2024-07-22T01:09:48Z,Williamsburg Wythe Blue,,,,1,,"{'title': 'Williamsburg Wythe <em>Blue</em> CW-590 | Benjamin Moore', 'sections': 'Williamsburg Wythe <em>Blue</em>', 'description': 'A classic that never goes out of style, this beautiful hybrid <em>blue</em> pairs a hint of Prussian <em>blue</em> with a gray base paint.', 'color_name': 'Williamsburg Wythe <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cw-590&#x2F;williamsburg-wythe-<em>blue</em>'}",6247dea8e7b9d2e3da0f58e6,Medium,Cool,Gray,,,,
"['Little Boy Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2061-60/little-boy-blue,Little Boy Blue 2061-60 | Benjamin Moore,Color,2061-60,An eye-pleasing baby blue overflowing with charm.,7ba11c9cc0c83c85ca20ea0d770d6caaa7a09900,ACD5E9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-142-little-boy-blue-2061-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2061-60/little-boy-blue,2024-07-21T20:54:42Z,,,2024-07-21T20:54:42Z,Little Boy Blue,,,,1,,"{'title': 'Little Boy <em>Blue</em> 2061-60 | Benjamin Moore', 'sections': 'Little Boy <em>Blue</em>', 'description': 'An eye-pleasing baby <em>blue</em> overflowing with charm.', 'color_name': 'Little Boy <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2061-60&#x2F;little-boy-<em>blue</em>'}",6242f1e1196a67346789487e,Light,Cool,,,,,
"['Del Mar Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/704/del-mar-blue,Del Mar Blue 704 | Benjamin Moore,Color,704,A muted blue-green that can quietly anchor a room.,63ce4b4137de3d458e30717f72e4838423adfb02,93A9A0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-120-del-mar-blue-704-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/704/del-mar-blue,2024-07-21T22:10:42Z,,,2024-07-21T22:10:42Z,Del Mar Blue,,,,1,,"{'title': 'Del Mar <em>Blue</em> 704 | Benjamin Moore', 'sections': 'Del Mar <em>Blue</em>', 'description': 'A muted <em>blue</em>-green that can quietly anchor a room.', 'color_name': 'Del Mar <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;704&#x2F;del-mar-<em>blue</em>'}",6242ede2196a6792578956e8,Medium,Cool,Gray,,,,
"['Blue Belle Island', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/782/blue-belle-island,Blue Belle Island 782 | Benjamin Moore,Color,782,A pretty cornflower blue sweetened with a drop of green.,a62b3c3d2995659acbf2ac5ef626ef431a942683,5EABD1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-135-blue-belle-island-782-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/782/blue-belle-island,2024-07-22T04:13:10Z,,,2024-07-22T04:13:09Z,Blue Belle Island,,,,1,,"{'title': '<em>Blue</em> Belle Island 782 | Benjamin Moore', 'sections': '<em>Blue</em> Belle Island', 'description': 'A pretty cornflower <em>blue</em> sweetened with a drop of green.', 'color_name': '<em>Blue</em> Belle Island', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;782&#x2F;<em>blue</em>-belle-island'}",6242d46628ccbcfac3dda9ed,Medium,Cool,,,,,
"['Baby Boy Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2056-50/baby-boy-blue,Baby Boy Blue 2056-50 | Benjamin Moore,Color,2056-50,A charming sky blue with a dash of green.,4da0cef4f87a1fef12bf1c1e03f147a408d74b02,7ACFD9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-115-baby-boy-blue-2056-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2056-50/baby-boy-blue,2024-07-31T00:37:57Z,Blue,Medium,2024-07-31T00:37:57Z,Baby Boy Blue,"['Interior', 'Exterior']",true,Color Preview&reg;,1,,"{'title': 'Baby Boy <em>Blue</em> 2056-50 | Benjamin Moore', 'sections': 'Baby Boy <em>Blue</em>', 'description': 'A charming sky <em>blue</em> with a dash of green.', 'color_name': 'Baby Boy <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2056-50&#x2F;baby-boy-<em>blue</em>', 'Family': '<em>Blue</em>'}",6243089e64441f66ec004f3f,,,,,,,
"['Old Pickup Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2054-60/old-pickup-blue,Old Pickup Blue 2054-60 | Benjamin Moore,Color,2054-60,A classic light blue with a tinge of green.,ea2eb96d6fb5506f890a9c509b27d5ef1420eb67,B0DAE3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-108-old-pickup-blue-2054-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2054-60/old-pickup-blue,2024-07-30T15:52:43Z,Blue,Light,2024-07-30T15:52:42Z,Old Pickup Blue,"['Interior', 'Exterior']",true,Color Preview&reg;,1,,"{'title': 'Old Pickup <em>Blue</em> 2054-60 | Benjamin Moore', 'sections': 'Old Pickup <em>Blue</em>', 'description': 'A classic light <em>blue</em> with a tinge of green.', 'color_name': 'Old Pickup <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2054-60&#x2F;old-pickup-<em>blue</em>', 'Family': '<em>Blue</em>'}",624307c2196a6707b6895e9f,,,,,,,
"['Blue Bay Marina', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1655/blue-bay-marina,Blue Bay Marina 1655 | Benjamin Moore,Color,1655,"Light and luxe, this watery blue conjures restful relaxation.",a30efec83ac6102c567854382840c478f039ac31,AECBD4,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-132-blue-bay-marina-1655-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1655/blue-bay-marina,2024-07-30T17:23:57Z,Blue,Medium,2024-07-30T17:23:56Z,Blue Bay Marina,"['Interior', 'Exterior']",true,Benjamin Moore Classics&reg;,1,,"{'title': '<em>Blue</em> Bay Marina 1655 | Benjamin Moore', 'sections': '<em>Blue</em> Bay Marina', 'description': 'Light and luxe, this watery <em>blue</em> conjures restful relaxation.', 'color_name': '<em>Blue</em> Bay Marina', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;1655&#x2F;<em>blue</em>-bay-marina', 'Family': '<em>Blue</em>'}",6242e22628ccbcd897dda8c6,,,,"['Bright', 'Calming', 'Chaming']","['Bedroom', 'Cabinet', 'Kitchen', 'Living Room']","['Coastal', 'Cottage']",
"['Van Courtland Blue', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-145/van-courtland-blue,Van Courtland Blue HC-145 | Benjamin Moore,Color,HC-145,An elegant Old World blue that also works well in more contemporary spaces.,a74a2f237027c36abeb7d3f50f89bfdcc4a8463d,86989E,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-134-van-courtland-HC-145-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-145/van-courtland-blue,2024-07-22T01:27:03Z,,,2024-07-22T01:27:03Z,Van Courtland Blue,,,,1,,"{'title': 'Van Courtland <em>Blue</em> HC-145 | Benjamin Moore', 'sections': 'Van Courtland <em>Blue</em>', 'description': 'An elegant Old World <em>blue</em> that also works well in more contemporary spaces.', 'color_name': 'Van Courtland <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-145&#x2F;van-courtland-<em>blue</em>'}",6242693764441f05c3005bee,Medium,Cool,Gray,,,,
