image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,PrimaryColorFamily,language,Family,Shade,Interior/Exterior,cdp,Color Collection,Opacity,Mood,Project,Style
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-grays/2021-natura-swap-gray-color-family/gray-bedroom-wainscoting-idea_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors/gray,['Gray Paint Colors'],/en-us/paint-colors/gray,2024-08-05T18:36:46Z,Gray Paint Colors | Benjamin Moore,2024-07-04T18:33:54Z,Color,Choose from a variety of Benjamin Moore Gray Paint Color options and integrate our most popular gray hues to transform your space and create the perfect ambience.,4bb01ec59e8cd20cf0f49285a6607131e57e0bb6,1,,"{'title': '<em>Gray</em> Paint Colors | Benjamin Moore', 'sections': '<em>Gray</em> Paint Colors', 'description': 'Choose from a variety of Benjamin Moore <em>Gray</em> Paint Color options and integrate our most popular <em>gray</em> hues to transform your space and create the perfect ambience.', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>gray</em>'}",62f699e6e7b9d2f6ab0e4537,,,,,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-217-gray-owl-2137-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2137-60/gray-owl,"['Gray Owl', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2137-60/gray-owl,2024-07-21T13:53:06Z,Gray Owl 2137-60 | Benjamin Moore,2024-07-21T13:53:06Z,Color,"A use-anywhere light gray with a cool, crisp cast.",0d39355bb9dc236960df3ccf5bc64f5e1a70526a,1,,"{'title': '<em>Gray</em> Owl 2137-60 | Benjamin Moore', 'sections': '<em>Gray</em> Owl', 'description': 'A use-anywhere light <em>gray</em> with a cool, crisp cast.', 'color_name': '<em>Gray</em> Owl', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2137-60&#x2F;<em>gray</em>-owl', 'Undertone': '<em>Gray</em>'}",6242b308e7b9d2651f0f4ba7,2137-60,Light,Cool,D3D4CC,Gray Owl,Gray,White,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-238-stonington-gray-HC-170-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-170/stonington-gray,"['Stonington Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-170/stonington-gray,2024-07-21T22:25:38Z,Stonington Gray HC-170 | Benjamin Moore,2024-07-21T22:25:37Z,Color,An all-purpose silvery gray with relatively neutral undertones.,a9e462dd8bcab1b865f7b906efe24ec8d136fa85,1,,"{'title': 'Stonington <em>Gray</em> HC-170 | Benjamin Moore', 'sections': 'Stonington <em>Gray</em>', 'description': 'An all-purpose silvery <em>gray</em> with relatively neutral undertones.', 'color_name': 'Stonington <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-170&#x2F;stonington-<em>gray</em>'}",6242a3b764441f74980060f6,HC-170,Light,Cool,CACBC5,Stonington Gray,,Neutral,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-228-coventry-gray-HC-169-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-169/coventry-gray,"['Coventry Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-169/coventry-gray,2024-07-21T07:32:26Z,Coventry Gray HC-169 | Benjamin Moore,2024-07-21T07:32:25Z,Color,A steadfast medium gray with relatively neutral undertones.,12ec0f0762c5eb57429603d1ac04c5e0ea2362de,1,,"{'title': 'Coventry <em>Gray</em> HC-169 | Benjamin Moore', 'sections': 'Coventry <em>Gray</em>', 'description': 'A steadfast medium <em>gray</em> with relatively neutral undertones.', 'color_name': 'Coventry <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-169&#x2F;coventry-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",624268d7e7b9d2542e0f3ad5,HC-169,Medium,Cool,B8BAB6,Coventry Gray,Gray,Neutral,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-251-edgecomb-gray-HC-173-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-173/edgecomb-gray,"['Edgecomb Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-173/edgecomb-gray,2024-07-21T21:31:58Z,Edgecomb Gray HC-173 | Benjamin Moore,2024-07-21T21:31:57Z,Color,"A go-to neutral that can refresh a space, while providing a warm, welcoming feeling.",532b1cf85bcf0c0a1f267645dde101abd14e1c80,1,,"{'title': 'Edgecomb <em>Gray</em> HC-173 | Benjamin Moore', 'sections': 'Edgecomb <em>Gray</em>', 'color_name': 'Edgecomb <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-173&#x2F;edgecomb-<em>gray</em>'}",62427997e7b9d22f5a0f575f,HC-173,Light,Warm,D9D3C4,Edgecomb Gray,Beige,White,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-251-revere-pewter-HC-172-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-172/revere-pewter,"['Revere Pewter', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-172/revere-pewter,2024-07-21T23:26:39Z,Revere Pewter HC-172 | Benjamin Moore,2024-07-21T23:26:39Z,Color,An iconic neutral that provides a versatile bridge between warm and cool tones.,f2443b32e7d227408a44dcae975a3c3d6759ee68,1,,{},62425f47e7b9d22b730f4c80,HC-172,Medium,Warm,CBC6B8,Revere Pewter,Beige,Neutral,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-201-classic-gray-OC-23-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-23/classic-gray,"['Classic Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-23/classic-gray,2024-07-22T00:04:36Z,Classic Gray OC-23 | Benjamin Moore,2024-07-22T00:04:36Z,Color,An ultra-light shade of gray that can also function as an off-white.,215ed2a73e83a753849bdc99820accc717d2a752,1,,"{'title': 'Classic <em>Gray</em> OC-23 | Benjamin Moore', 'sections': 'Classic <em>Gray</em>', 'description': 'An ultra-light shade of <em>gray</em> that can also function as an off-white.', 'color_name': 'Classic <em>Gray</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;oc-23&#x2F;classic-<em>gray</em>', 'Undertone': '<em>Gray</em>'}",624233a3196a6722528953ae,OC-23,Light,Cool,E3E0D7,Classic Gray,Gray,White,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-239-metropolitan-AF-690-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-690/metropolitan,"['Metropolitan', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-690/metropolitan,2024-07-21T21:01:46Z,Metropolitan AF-690 | Benjamin Moore,2024-07-21T21:01:44Z,Color,A stylish gray with cool undertones that reflects the modern sophistication of 21st-century design.,b319022ee0298155d8034966031bf71d7093f41f,1,,{'description': 'A stylish <em>gray</em> with cool undertones that reflects the modern sophistication of 21st-century design.'},62425d4064441f34ab0059e2,AF-690,Medium,Cool,BABDB8,Metropolitan,,Neutral,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-239-kendall-charcoal-HC-166-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-166/kendall-charcoal,"['Kendall Charcoal', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-166/kendall-charcoal,2024-07-21T23:39:08Z,Kendall Charcoal HC-166 | Benjamin Moore,2024-07-21T23:39:08Z,Color,"With its rich, varied undertones, this dark neutral works beautifully with a wide spectrum of colors.",22811b2797cf118fa1fed83b67e1d96de348ad44,1,,{'Undertone': '<em>Gray</em>'},624271ef196a67c228896439,HC-166,Dark,Cool,676662,Kendall Charcoal,Gray,Neutral,,,,,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-grays/grays_hero_mobile_640x640_f.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/gray-paint-colors,"['Gray Paint Color by Family', 'Equal parts stylish and sensible, gray is a design favorite. From online inspiration to in-store advice, count on us to find the best gray paint colors for your bespoke project.', 'Warm + Cool + Most Popular Paint Colors', 'How to Find the Perfect Gray Paint', 'Gray Colors. Gray Luxury.', 'The Art of Dining, the Warmth of Gray', 'What is an Undertone?', 'Choosing Between Warm and Cool Grays', 'Exteriors Go Gray', 'Buy a Paint Sample', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/gray-paint-colors,2024-07-21T23:28:00Z,Gray Paint Ideas | Benjamin Moore,2024-07-21T23:28:00Z,Color,Get ideas on how to use gray paint colors and give your home a sensible style from the experts at Benjamin Moore.,09cbd9e445aabc855535e050216bc7149e6f7cd6,1,,"{'title': '<em>Gray</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Gray</em> Paint Color by Family', 'description': 'Get ideas on how to use <em>gray</em> paint colors and give your home a sensible style from the experts at Benjamin Moore.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>gray</em>-paint-colors'}",5d4a23f428ccbc1cc68efe7c,,,,,,,,en-us,,,,,,,,,
