image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,Family,Shade,Interior/Exterior,cdp,Color Collection,PrimaryColorFamily,Mood,Project,Style
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-green/2021-natura-swap-green-color-family/fernwood-green-wall_hero_640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors/green,['Green Paint Colors'],/en-us/paint-colors/green,2024-08-05T18:35:12Z,Green Paint Colors  | Benjamin Moore,2024-07-04T18:43:27Z,Color,Discover our Benjamin Moore Green paint colors that range from soothing sage to vibrant lime and are incredibly versatile. Our green paint colors can be a lively accent or a sophisticated backdrop from apple green to soft jade. Many green paint colors pair well with wood tones and neutrals - making ,be1a507945ecf3afc696c7465b3fb9d37802fff9,1,,"{'title': '<em>Green</em> Paint Colors  | Benjamin Moore', 'sections': '<em>Green</em> Paint Colors', 'description': 'Discover our Benjamin Moore <em>Green</em> paint colors that range from soothing sage to vibrant lime and are incredibly versatile. Our <em>green</em> paint colors can be a lively accent or a sophisticated backdrop from apple <em>green</em> to soft jade. Many <em>green</em> paint colors pair well with wood tones and neutrals - making ', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>green</em>'}",62f698ac64441f1ed6f1b303,,,,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-092-hunter-green-2041-10-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2041-10/hunter-green,"['Hunter Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2041-10/hunter-green,2024-07-22T00:32:36Z,Hunter Green 2041-10 | Benjamin Moore,2024-07-22T00:32:36Z,Color,A timeless dark green full of depth and elegance.,5bbc15c9d8fa62ad213913ec73d45dd3fd96927f,1,,"{'title': 'Hunter <em>Green</em> 2041-10 | Benjamin Moore', 'sections': 'Hunter <em>Green</em>', 'description': 'A timeless dark <em>green</em> full of depth and elegance.', 'color_name': 'Hunter <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2041-10&#x2F;hunter-<em>green</em>'}",62423ea9196a67c884896ad5,2041-10,Dark,Cool,2A453D,Hunter Green,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-104-october-mist-1495-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1495/october-mist,"['October Mist', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/1495/october-mist,2024-07-21T22:48:45Z,October Mist 1495 | Benjamin Moore,2024-07-21T22:48:45Z,Color,"Evocative of the stem of a flower, this gently shaded sage anchors and uplifts.",650d633a3fb633324afcf6161c43826204085af7,1,,{},6241fe1d28ccbc99c8ddadeb,1495,Medium,Cool,B6B8A5,October Mist,Gray,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-078-hollingsworth-green-HC-141-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-141/hollingsworth-green,"['Hollingsworth Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-141/hollingsworth-green,2024-07-21T22:40:18Z,Hollingsworth Green HC-141 | Benjamin Moore,2024-07-21T22:40:18Z,Color,"A feather-light combination of green, blue and gray.",c3b74b8ba97769e1a4ef88f2ec55bdeef8b02d1f,1,,"{'title': 'Hollingsworth <em>Green</em> HC-141 | Benjamin Moore', 'sections': 'Hollingsworth <em>Green</em>', 'description': 'A feather-light combination of <em>green</em>, blue and gray.', 'color_name': 'Hollingsworth <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-141&#x2F;hollingsworth-<em>green</em>'}",6242ad38196a670e1d895cde,HC-141,Light,Cool,CCD4C4,Hollingsworth Green,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-091-guilford-green-HC-116-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-116/guilford-green,"['Guilford Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-116/guilford-green,2024-07-22T00:15:41Z,Guilford Green HC-116 | Benjamin Moore,2024-07-22T00:15:40Z,Color,A gentle green hue with pleasing warm undertones.,30c65a442a898b35d8c2433b1f7d565b4fcef0ec,1,,"{'title': 'Guilford <em>Green</em> HC-116 | Benjamin Moore', 'sections': 'Guilford <em>Green</em>', 'description': 'A gentle <em>green</em> hue with pleasing warm undertones.', 'color_name': 'Guilford <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-116&#x2F;guilford-<em>green</em>'}",62423e7728ccbc8a33dd9d4f,HC-116,Light,Warm,CBCDAE,Guilford Green,Yellow,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-085-soft-fern-2144-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2144-40/soft-fern,"['Soft Fern', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2144-40/soft-fern,2024-07-21T21:00:09Z,Soft Fern 2144-40 | Benjamin Moore,2024-07-21T21:00:08Z,Color,A pleasing pale green misted with gray tones.,1814c4578a537d1e3d02b407e92c0b11e06b2109,1,,{'description': 'A pleasing pale <em>green</em> misted with gray tones.'},6242922e64441fee300048ea,2144-40,Medium,Warm,C8CAB2,Soft Fern,Gray,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-103-louisburg-green-HC-113-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-113/louisburg-green,"['Louisburg Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-113/louisburg-green,2024-07-22T01:14:31Z,Louisburg Green HC-113 | Benjamin Moore,2024-07-22T01:14:31Z,Color,"Gray undertones give this medium green a cool, muted quality.",a7a03946acff84b5c48d7f4e276b622c29ad384a,1,,"{'title': 'Louisburg <em>Green</em> HC-113 | Benjamin Moore', 'sections': 'Louisburg <em>Green</em>', 'description': 'Gray undertones give this medium <em>green</em> a cool, muted quality.', 'color_name': 'Louisburg <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-113&#x2F;louisburg-<em>green</em>'}",6242a0b228ccbca48ddda022,HC-113,Medium,Cool,9C9E87,Louisburg Green,Gray,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-078-kennebunkport-green-HC-123-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-123/kennebunkport-green,"['Kennebunkport Green', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-123/kennebunkport-green,2024-07-21T19:29:19Z,Kennebunkport Green HC-123 | Benjamin Moore,2024-07-21T19:29:19Z,Color,A versatile medium green with a cool gray cast.,c1956835b6fc717bfd76b36695167fd901a22d1a,1,,"{'title': 'Kennebunkport <em>Green</em> HC-123 | Benjamin Moore', 'sections': 'Kennebunkport <em>Green</em>', 'description': 'A versatile medium <em>green</em> with a cool gray cast.', 'color_name': 'Kennebunkport <em>Green</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-123&#x2F;kennebunkport-<em>green</em>'}",62425bd9196a67e0658970f3,HC-123,Medium,Warm,919D82,Kennebunkport Green,Yellow,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/green-paint-094-saybrook-sage-HC-114-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-114/saybrook-sage,"['Saybrook Sage', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-114/saybrook-sage,2024-07-21T20:53:41Z,Saybrook Sage HC-114 | Benjamin Moore,2024-07-21T20:53:40Z,Color,A soothing aloe hue cooled with a splash of gray.,64311401dbc3422cd50aa7790e4c2d777ef407cb,1,,{},62465e7664441f7440005410,HC-114,Medium,Cool,B1B7A2,Saybrook Sage,Gray,,,,,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-green/green_hero_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/green-paint-colors,"['Green Paint Color by Family', 'Turn over a new leaf: we offer hundreds of green colors for every style of home, from fresh and mossy hues to deep emeralds and forest greens. Whether online or in-store, let us help you find the best Benjamin Moore shade of green paint for your next project.', 'Warm + Cool + Most Popular Paint Colors', 'A Palette for Every Palate', 'Mix & Match', 'Green Accents Outdoors', 'Buy a Paint Sample', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/green-paint-colors,2024-08-04T18:41:08Z,Green Paint Ideas | Benjamin Moore,2024-07-16T18:29:16Z,Color,Get ideas on how to use green paint colors and give your home infinite versatility from the experts at Benjamin Moore.,73bf3882ca4b03340aad94ef019656a8b8a11f04,1,,"{'title': '<em>Green</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Green</em> Paint Color by Family', 'description': 'Get ideas on how to use <em>green</em> paint colors and give your home infinite versatility from the experts at Benjamin Moore.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>green</em>-paint-colors'}",5d4cf719196a6778d0bec460,,,,,,,en-us,,,,,,,,,
