image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,PrimaryColorFamily,language,Family,Shade,Interior/Exterior,cdp,Color Collection
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-neutrals/2021-natura-swap-neutral-color-family/gray-dining-room-accent-wall_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors/neutral,['Neutral Paint Colors'],/en-us/paint-colors/neutral,2024-08-05T18:38:08Z,Neutral Paint Colors | Benjamin Moore,2024-07-03T18:40:50Z,Color,"From Beige to Soft Tan, discover the right neutral color for your home with Benjamin Moore® paint colors. Transform your space with our premium paint colors today.",f8837ec3328f83ea5c4bc5035eb9b0041031d9cf,1,,"{'title': '<em>Neutral</em> Paint Colors | Benjamin Moore', 'sections': '<em>Neutral</em> Paint Colors', 'description': 'From Beige to Soft Tan, discover the right <em>neutral</em> color for your home with Benjamin Moore® paint colors. Transform your space with our premium paint colors today.', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>neutral</em>'}",62f699da196a671f5d5bb630,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-249-pale-oak-OC-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-20/pale-oak,"['Pale Oak', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-20/pale-oak,2024-07-21T22:50:18Z,Pale Oak OC-20 | Benjamin Moore,2024-07-21T22:50:17Z,Color,"With its warm gray undertones, this versatile neutral conjures the quiet majesty of white oak.",50ac68bfad64faeaade017d33aaa590c9a2a6d4d,1,,"{'description': 'With its warm gray undertones, this versatile <em>neutral</em> conjures the quiet majesty of white oak.'}",624297e0e7b9d2b8270f4153,OC-20,Light,Warm,DDD9CE,Pale Oak,Gray,White,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-201-classic-gray-OC-23-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-23/classic-gray,"['Classic Gray', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-23/classic-gray,2024-07-22T00:04:36Z,Classic Gray OC-23 | Benjamin Moore,2024-07-22T00:04:36Z,Color,An ultra-light shade of gray that can also function as an off-white.,215ed2a73e83a753849bdc99820accc717d2a752,1,,{},624233a3196a6722528953ae,OC-23,Light,Cool,E3E0D7,Classic Gray,Gray,White,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-191-wind's-breath-OC-24-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-24/winds-breath,"[""Wind's Breath"", 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-24/winds-breath,2024-07-21T22:15:15Z,Wind's Breath OC-24 | Benjamin Moore,2024-07-21T22:15:15Z,Color,"Warm gray undertones give this neutral a welcoming, relaxed quality.",a33bc5ec384957906de16f8cd7331c61cba1f89a,1,,"{'description': 'Warm gray undertones give this <em>neutral</em> a welcoming, relaxed quality.'}",624233b1e7b9d207d50f4dd8,OC-24,Light,Warm,DFDBCD,Wind's Breath,Gray,White,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-191-cedar-key-OC-16-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-16/cedar-key,"['Cedar Key', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-16/cedar-key,2024-07-21T20:25:19Z,Cedar Key OC-16 | Benjamin Moore,2024-07-21T20:25:18Z,Color,"A crisp, confident neutral that conjures driftwood washed ashore.",55db88e11bfa8228d67e5d693707e66838ed899a,1,,"{'description': 'A crisp, confident <em>neutral</em> that conjures driftwood washed ashore.'}",6242337de7b9d2042f0f470f,OC-16,Light,Warm,D7CEBF,Cedar Key,Pink,White,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-194-muslin-OC-12-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-12/muslin,"['Muslin', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-12/muslin,2024-07-21T20:25:16Z,Muslin OC-12 | Benjamin Moore,2024-07-21T20:25:15Z,Color,"A warm, welcoming neutral that captures the effortless charm of organic materials.",3de0a989b289e8b7cf3c60a77948eef0a111795b,1,,"{'description': 'A warm, welcoming <em>neutral</em> that captures the effortless charm of organic materials.'}",624233a4196a67b125896b7c,OC-12,Light,Warm,E1D6C1,Muslin,Beige,White,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-186-shaker-beige-HC-45-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-45/shaker-beige,"['Shaker Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-45/shaker-beige,2024-07-21T23:53:02Z,Shaker Beige HC-45 | Benjamin Moore,2024-07-21T23:53:02Z,Color,A quintessential beige neutral that exudes simple elegance.,bdc87aabe60ada00b4c4f53afc125e1732c3cce6,1,,"{'description': 'A quintessential beige <em>neutral</em> that exudes simple elegance.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62456ef128ccbc98d4dda087,HC-45,Medium,Warm,D1C2A7,Shaker Beige,Beige,Neutral,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-255-manchester-tan-HC-81-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-81/manchester-tan,"['Manchester Tan', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-81/manchester-tan,2024-07-21T21:35:59Z,Manchester Tan HC-81 | Benjamin Moore,2024-07-21T21:35:59Z,Color,"A fresh, sophisticated beige that conjures stately sandstone façades.",0e1a249e9ecfa5e293423d01e01f7c63c1fa5253,1,,{'PrimaryColorFamily': '<em>Neutral</em>'},62428874196a67fb418964a6,HC-81,Light,Warm,DBD2BC,Manchester Tan,Beige,Neutral,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-184-grant-beige-HC-83-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-83/grant-beige,"['Grant Beige', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-83/grant-beige,2024-07-21T23:37:25Z,Grant Beige HC-83 | Benjamin Moore,2024-07-21T23:37:25Z,Color,An equal mix of gray and beige tones makes this a highly versatile neutral.,396b1fd1255799de3823b98542cd0cf784891c99,1,,"{'description': 'An equal mix of gray and beige tones makes this a highly versatile <em>neutral</em>.', 'PrimaryColorFamily': '<em>Neutral</em>'}",62423392196a678e1f8965a5,HC-83,Medium,Warm,CEC5B0,Grant Beige,Beige,Neutral,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-neutrals/natural_hero_640x640.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/neutral-paint-colors,"['Neutral Paint Color by Family', 'Incredibly versatile and surprisingly complex, neutral paint colors are a homeowner favorite.', 'Warm + Cool + Most Popular Neutral Paint Colors', 'How to Choose Neutral Paint Colors', 'Focus on Lighting and Neutral Colors', 'The Best Neutral Paint Colors: Bedroom', 'The Best Neutral Paint Colors: Living Room', 'A Warm Welcome', 'Buy a Paint Sample', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/neutral-paint-colors,2024-07-21T22:05:27Z,Neutral Paint Ideas | Benjamin Moore,2024-07-21T22:05:27Z,Color,Get ideas on how to use neutral paint colors and give your home a relaxing touch from the experts at Benjamin Moore.,2e3cd1ef32323a8e267b4a1716115709a9dfe219,1,,"{'title': '<em>Neutral</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Neutral</em> Paint Color by Family', 'description': 'Get ideas on how to use <em>neutral</em> paint colors and give your home a relaxing touch from the experts at Benjamin Moore.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>neutral</em>-paint-colors'}",5e1e12c3196a67269b242a1f,,,,,,,,en-us,,,,,
