image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,PrimaryColorFamily,Undertone,language,Family,Shade,Interior/Exterior,cdp,Color Collection
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-orange/potters-clay-kitchen-hero-mobile.jpg,https://www.benjaminmoore.com/en-us/paint-colors/orange,['Orange Paint Colors'],/en-us/paint-colors/orange,2024-08-05T18:36:44Z,Orange Paint Colors  | Benjamin Moore,2024-07-05T18:37:12Z,Color,"Breathe energy into your space with our orange paint colors that are uplifting and energizing. Our shades of orange range from bright mimosa to warm, golden gamboge and can transform your home into a warm and welcoming one. Explore our orange paint colors today.",577160554fb6f6ecb058b6f040da2d4ecc102219,1,,"{'title': '<em>Orange</em> Paint Colors  | Benjamin Moore', 'sections': '<em>Orange</em> Paint Colors', 'description': 'Breathe energy into your space with our <em>orange</em> paint colors that are uplifting and energizing. Our shades of <em>orange</em> range from bright mimosa to warm, golden gamboge and can transform your home into a warm and welcoming one. Explore our <em>orange</em> paint colors today.', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>orange</em>'}",62f699ec28ccbc3d13909b79,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-030-firenze-AF-225-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-225/firenze,"['Firenze', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-225/firenze,2024-07-21T22:48:08Z,Firenze AF-225 | Benjamin Moore,2024-07-21T22:48:08Z,Color,A deep orange with a rosy cast.,d36dfa2753a20e8db715c9a7e1236d8f4a81d24a,1,,"{'description': 'A deep <em>orange</em> with a rosy cast.', 'PrimaryColorFamily': '<em>Orange</em>'}",6242791ae7b9d2a7810f3e8d,AF-225,Medium,Warm,B87450,Firenze,Orange,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-029-potters-clay-1221-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/1221/potters-clay,"['Potters Clay', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/1221/potters-clay,2024-07-21T21:27:42Z,Potters Clay 1221 | Benjamin Moore,2024-07-21T21:27:41Z,Color,"Sunbaked and radiant, this terracotta orange is a salve for stark spaces.",aca6dab21fbc6be9b71fcced3ae10ffd8ca53255,1,,"{'description': 'Sunbaked and radiant, this terracotta <em>orange</em> is a salve for stark spaces.', 'PrimaryColorFamily': '<em>Orange</em>'}",6242d79628ccbc3b55ddbeb2,1221,Medium,Warm,B98766,Potters Clay,Orange,Brown,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-030-soft-pumpkin-2166-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2166-40/soft-pumpkin,"['Soft Pumpkin', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2166-40/soft-pumpkin,2024-07-21T21:05:17Z,Soft Pumpkin 2166-40 | Benjamin Moore,2024-07-21T21:05:17Z,Color,"With its soft, creamy character, this medium orange offers a similar charm to apricot.",1dbbabf20bf480293178ba7be3c4864bffe9a2e9,1,,"{'description': 'With its soft, creamy character, this medium <em>orange</em> offers a similar charm to apricot.', 'PrimaryColorFamily': '<em>Orange</em>'}",6242911e196a67fd4e895680,2166-40,Medium,Warm,E1A16D,Soft Pumpkin,Orange,Peach,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-048-eye-of-the-tiger-188-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/188/eye-of-the-tiger,"['Eye of the Tiger', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/188/eye-of-the-tiger,2024-07-22T01:54:26Z,Eye of the Tiger 188 | Benjamin Moore,2024-07-22T01:54:26Z,Color,"Rich and earthy, this yellow-orange brings to mind the distinctive coat of a tiger.",559811f48b4208d27e8a9174f26baebfeb2f2716,1,,"{'description': 'Rich and earthy, this yellow-<em>orange</em> brings to mind the distinctive coat of a tiger.'}",62428706196a67e0758953e6,188,Medium,Warm,E3B26F,Eye of the Tiger,Yellow,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-044-peach-parfait-2175-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2175-70/peach-parfait,"['Peach Parfait', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2175-70/peach-parfait,2024-07-21T20:02:16Z,Peach Parfait 2175-70 | Benjamin Moore,2024-07-21T20:02:15Z,Color,"A pink-tinged peach with a pale, frosty finish.",be0789d534217b6a0f588edd99a219084edeb36e,1,,{'PrimaryColorFamily': '<em>Orange</em>'},6242e0bee7b9d2da0e0f4ff8,2175-70,Light,Warm,F9E7DA,Peach Parfait,Orange,Peach,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-256-parchment-OC-78-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-78/parchment,"['Parchment', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-78/parchment,2024-07-21T20:27:34Z,Parchment OC-78 | Benjamin Moore,2024-07-21T20:27:33Z,Color,Muted peach tones bring understated elegance to this pale hue.,bbdb7e467323bf000b82425055c5e2ea9a865bd4,1,,{},6242f0d8196a67c74889687b,OC-78,Light,Warm,F7E7D4,Parchment,White,Peach,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-032-terra-mauve-105-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/105/terra-mauve,"['Terra Mauve', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/105/terra-mauve,2024-07-21T21:27:05Z,Terra Mauve 105 | Benjamin Moore,2024-07-21T21:27:04Z,Color,"A deep, reddened shade of burnt sienna that conveys an understated sense of luxury.",1d8df01e7e94b81f9e4511c456a846bbef597888,1,,{'PrimaryColorFamily': '<em>Orange</em>'},62429ecfe7b9d2f3a70f6442,105,Dark,Warm,9C6040,Terra Mauve,Orange,Brown,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/orange-paint-256-country-white-898-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/898/country-white,"['Country White', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/898/country-white,2024-07-22T04:54:22Z,Country White 898 | Benjamin Moore,2024-07-22T04:54:21Z,Color,Crisp peach tones warm up this off-white hue.,1c1482c82c64e9b04b19ce3e91afceff50e39c28,1,,{'PrimaryColorFamily': '<em>Orange</em>'},624286ca196a67834089720a,898,Light,Warm,F9E9D1,Country White,Orange,Peach,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-orange/potters-clay-kitchen-hero-mobile.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/orange-paint-colors,"['Orange Paint Color by Family', 'From earthy pumpkin to vibrant and playful summer citrus, orange colors take cues from dynamic aspects of nature–tropical flora, brilliant sunrises, and aromatic spices and seasonings.', 'Most Popular Orange Paint Colors', 'What Colors Make Orange?', 'Pale Orange: Sweet & Sophisticated', 'Go Organic: Burnt Orange to Terracotta', 'Orange Paint Colors for Living Rooms', 'Kids at Play', 'Fresh ‘n Fruity: Orange Kitchens', 'Going Steady: Colors That Go with Orange', 'The Picture Perfect Paint Color', 'Order Color Samples Online', 'Benjamin Moore Color Portfolio® App', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/orange-paint-colors,2024-07-21T22:07:37Z,Orange Paint Ideas | Benjamin Moore,2024-05-23T17:24:05Z,Color,"From warm colors to cool shades, check out our most popular orange paint colors for your home. Discover orange inspiration for your home with Benjamin Moore.",be01c25a621af68e67ef8f28c0e7a571ff930f7b,1,,"{'title': '<em>Orange</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Orange</em> Paint Color by Family', 'description': 'From warm colors to cool shades, check out our most popular <em>orange</em> paint colors for your home. Discover <em>orange</em> inspiration for your home with Benjamin Moore.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>orange</em>-paint-colors'}",61718b22196a67ee562f006c,,,,,,,,en-us,,,,,
