image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,language,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-purple/shadow-wall-hero-mobile.jpg,https://www.benjaminmoore.com/en-us/paint-colors/purple,['Purple Paint Colors'],/en-us/paint-colors/purple,2024-08-05T18:38:10Z,Purple Paint Colors | Benjamin Moore,2024-07-03T18:36:43Z,Color,"Browse the Benjamin Moore Purple paint color family and inspire imagination, spirituality and abundance in your space.",189750cc96e480d2b4b2752da9fbde2a3eafce16,1,,"{'title': '<em>Purple</em> Paint Colors | Benjamin Moore', 'sections': '<em>Purple</em> Paint Colors', 'description': 'Browse the Benjamin Moore <em>Purple</em> paint color family and inspire imagination, spirituality and abundance in your space.', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>purple</em>'}",62f698ac28ccbc827c90a302,,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-156-shadow-2117-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2117-30/shadow,"['Shadow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2117-30/shadow,2024-07-21T23:33:24Z,Shadow 2117-30 | Benjamin Moore,2024-07-21T23:33:23Z,Color,"A rich, royal amethyst that can fade into the soft lilac-gray of distant mountains or morph into lustrous coal.",d0ea6b0e6cbac626e9db6ebe156bde34d83bfae9,1,,{},6242d5ba196a673e5a894b05,2117-30,Dark,Cool,514A58,Shadow,Gray,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-173-caponata-AF-650-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-650/caponata,"['Caponata', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-650/caponata,2024-07-22T02:55:21Z,Caponata AF-650 | Benjamin Moore,2024-07-22T02:55:20Z,Color,"Infused with purple undertones, this rich brown creates a lush atmosphere.",1cb0956116cab09b7b98bd303d6f1157c271e414,1,,"{'description': 'Infused with <em>purple</em> undertones, this rich brown creates a lush atmosphere.'}",6242b129196a675e198965d5,AF-650,Dark,Warm,453133,Caponata,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-179-sanctuary-AF-620-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-620/sanctuary,"['Sanctuary', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-620/sanctuary,2024-07-22T00:22:35Z,Sanctuary AF-620 | Benjamin Moore,2024-07-22T00:22:35Z,Color,A softly shaded purple that presents a unique alternative to gray.,e992fcd416aeb20136f90c613596454014b61bcf,1,,{'description': 'A softly shaded <em>purple</em> that presents a unique alternative to gray.'},6242a4bc64441ff079005b81,AF-620,Medium,Cool,B4A9AF,Sanctuary,Gray,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-153-touch-of-gray-2116-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2116-60/touch-of-gray,"['Touch of Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2116-60/touch-of-gray,2024-07-22T04:48:43Z,Touch of Gray 2116-60 | Benjamin Moore,2024-07-22T04:48:43Z,Color,"A delicate violet with a trace of pink, this pastel hue brings a graceful ease to any space.",f5b6a349a31e036e289b28e36061160cfddd94d8,1,,{},6242ed02196a670def8959eb,2116-60,Light,Cool,DCD6DD,Touch of Gray,Gray,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-156-winter-gray-2117-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2117-60/winter-gray,"['Winter Gray', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2117-60/winter-gray,2024-07-21T23:14:22Z,Winter Gray 2117-60 | Benjamin Moore,2024-07-21T23:14:22Z,Color,Equal amounts of gray and violet come together in this gentle hue.,d9fc49a6e5d5e7d665f5ecce128f09bbd655fe05,1,,{},624275bfe7b9d2c8680f4903,2117-60,Light,Cool,D0CDD6,Winter Gray,Gray,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-149-black-raspberry-2072-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2072-20/black-raspberry,"['Black Raspberry', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2072-20/black-raspberry,2024-07-22T00:26:47Z,Black Raspberry 2072-20 | Benjamin Moore,2024-07-22T00:22:37Z,Color,Brown undertones infuse this dark purple with earthy richness.,a669f37dfad204867aec854bc75918027eab3f6b,1,,{'description': 'Brown undertones infuse this dark <em>purple</em> with earthy richness.'},6242c3bbe7b9d213aa0f6393,2072-20,Dark,Warm,4D3D4B,Black Raspberry,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-161-enchanted-2070-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2070-50/enchanted,"['Enchanted', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2070-50/enchanted,2024-07-22T01:14:31Z,Enchanted 2070-50 | Benjamin Moore,2024-07-22T01:14:30Z,Color,"Soft yet effervescent, this lilac hue offers many charms.",599049fd269b93f5b04183187aef35023af5120c,1,,{},624257e6196a67d8d0897022,2070-50,Medium,Cool,AFAFCB,Enchanted,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/purple-paint-154-misty-lilac-2071-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2071-70/misty-lilac,"['Misty Lilac', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2071-70/misty-lilac,2024-07-22T00:22:36Z,Misty Lilac 2071-70 | Benjamin Moore,2024-07-22T00:22:35Z,Color,"A soft suggestion of violet that breathes a wistful, romantic feeling into any space.",09f2e35e3278deb34440f84193e4e9c7ef2804d6,1,,{},6242612ae7b9d2a9930f4dec,2071-70,Light,Cool,EAE3F0,Misty Lilac,,,,,,,,,
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-purple/shadow-wall-hero-mobile.jpg,https://www.benjaminmoore.com/en-us/color-overview/color-palettes/color-families/purple-paint-colors,"['Purple Paint Color by Family', 'Love a fresh, playful shade of lavender? Or do dark, moody plums speak more to your style? Whether you’re searching for a mood-boosting pastel or a dramatic hue, purple paint colors bring personality to any space.', 'Best Purple Paint Colors', 'A Spectrum of Purples', 'Dark Purple Paint Colors', 'Fresh! Light Purple Paint Colors', 'Muted Purples, Gray Violets', 'Bright Purple Paint Colors', 'Relax: Purple Bedroom Paint Colors', 'See Purple Paint Colors in Your Home!', 'Order Color Samples Online', 'Benjamin Moore Color Portfolio® App', 'Ideas & Inspiration', 'Ready to Explore?', 'Benjamin Moore', 'For Professionals', 'Customer Service', 'Buy Paints and Stain']",/en-us/color-overview/color-palettes/color-families/purple-paint-colors,2024-07-21T23:27:17Z,Purple Paint Ideas | Benjamin Moore,2024-07-21T23:27:17Z,Color,Learn how to use purple colors and give your home a luxurious touch from experts at Benjamin Moore. Find out the most popular purple paint color for your space.,0e510aac77878c34fc214d6b3f8ee56353411a1f,1,,"{'title': '<em>Purple</em> Paint Ideas | Benjamin Moore', 'sections': '<em>Purple</em> Paint Color by Family', 'description': 'Learn how to use <em>purple</em> colors and give your home a luxurious touch from experts at Benjamin Moore. Find out the most popular <em>purple</em> paint color for your space.', 'page_path': '&#x2F;en-us&#x2F;color-overview&#x2F;color-palettes&#x2F;color-families&#x2F;<em>purple</em>-paint-colors'}",618972c0e7b9d298ffc2a519,,,,,,,en-us,,,,,,,
