image,url,sections,page_path,published_at,title,updated_at,type,description,external_id,popularity,info,highlight,id,color_number,ColorValue,WarmCool,color_hex,color_name,Undertone,PrimaryColorFamily,Mood,Project,Family,Shade,Interior/Exterior,cdp,Color Collection,Style,language
https://www.benjaminmoore.com/-/media/sites/benjaminmoore/images/color/color-families/color-families-yellow/colorbyfamilyyellow_hero_mobile_640x640.jpg,https://www.benjaminmoore.com/en-us/paint-colors/yellow,['Yellow Paint Colors'],/en-us/paint-colors/yellow,2024-08-05T18:38:07Z,Yellow Paint Colors | Benjamin Moore,2024-07-05T18:44:00Z,Color,"Explore our Benjamin Moore Yellow paint color family with a variety of options to create an environment that creates a warm, sunny space that always feels bright and inviting.",bfa741207b644c3550bbf5fe6ece15579a0bcf92,1,,"{'title': '<em>Yellow</em> Paint Colors | Benjamin Moore', 'sections': '<em>Yellow</em> Paint Colors', 'description': 'Explore our Benjamin Moore <em>Yellow</em> paint color family with a variety of options to create an environment that creates a warm, sunny space that always feels bright and inviting.', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;<em>yellow</em>'}",62f699ec64441fea08f1a053,,,,,,,,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-063-hawthorne-yellow-HC-4-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-4/hawthorne-yellow,"['Hawthorne Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/hc-4/hawthorne-yellow,2024-07-21T23:41:42Z,Hawthorne Yellow HC-4 | Benjamin Moore,2024-07-21T23:41:41Z,Color,A bold yet balanced yellow that is a popular accent choice for interiors and exteriors.,9d05c4929b34c6a1c4c346d12fbb7618f1a32d30,1,,"{'title': 'Hawthorne <em>Yellow</em> HC-4 | Benjamin Moore', 'sections': 'Hawthorne <em>Yellow</em>', 'description': 'A bold yet balanced <em>yellow</em> that is a popular accent choice for interiors and exteriors.', 'color_name': 'Hawthorne <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-4&#x2F;hawthorne-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>', 'Undertone': '<em>Yellow</em>'}",6242740b196a674ce6896e39,HC-4,Light,Warm,F5E1A4,Hawthorne Yellow,Yellow,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-257-man-on-the-moon-OC-106-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/oc-106/man-on-the-moon,"['Man on the Moon', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/oc-106/man-on-the-moon,2024-07-22T04:04:04Z,Man on the Moon OC-106 | Benjamin Moore,2024-07-22T04:04:03Z,Color,"With its ultra-soft, muted cast, this pale yellow has a calming, eye-pleasing quality.",8ba428f7bebdbc922ca547b4f15aac5b965478b9,1,,"{'description': 'With its ultra-soft, muted cast, this pale <em>yellow</em> has a calming, eye-pleasing quality.', 'Undertone': '<em>Yellow</em>'}",62423df9e7b9d2ac960f5344,OC-106,Light,Warm,F5EDCD,Man on the Moon,Yellow,White,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/white-paint-057-mannequin-cream-2152-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2152-60/mannequin-cream,"['Mannequin Cream', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2152-60/mannequin-cream,2024-07-22T01:53:26Z,Mannequin Cream 2152-60 | Benjamin Moore,2024-07-22T01:53:26Z,Color,A pretty pale with muted cream undertones.,604f53f51ab0e1686487b68420e84311e6a74096,1,,{},62423df064441f4b99004742,2152-60,Light,Warm,F7ECD2,Mannequin Cream,Cream,White,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-054-york-harbor-yellow-2154-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2154-40/york-harbor-yellow,"['York Harbor Yellow', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2154-40/york-harbor-yellow,2024-07-21T20:17:11Z,York Harbor Yellow 2154-40 | Benjamin Moore,2024-07-21T20:17:11Z,Color,"A mellow yellow rounded out by a hint of orange, this mid-tone is a reliable option anytime a pop of color is needed.",b9e6691464709897d03abf0007b3b823eb79f142,1,,"{'title': 'York Harbor <em>Yellow</em> 2154-40 | Benjamin Moore', 'sections': 'York Harbor <em>Yellow</em>', 'description': 'A mellow <em>yellow</em> rounded out by a hint of orange, this mid-tone is a reliable option anytime a pop of color is needed.', 'color_name': 'York Harbor <em>Yellow</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2154-40&#x2F;york-harbor-<em>yellow</em>', 'PrimaryColorFamily': '<em>Yellow</em>'}",62423de964441f03cc004827,2154-40,Medium,Warm,EAC17C,York Harbor Yellow,,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-057-golden-straw-2152-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2152-50/golden-straw,"['Golden Straw', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2152-50/golden-straw,2024-07-21T20:11:01Z,Golden Straw 2152-50 | Benjamin Moore,2024-07-21T20:11:01Z,Color,"With its subtle notes of cream and peach, this easygoing yellow brings an effortless glow to a space.",192597d150418ddc2e5683c6e58f97aa9f27c756,1,,"{'description': 'With its subtle notes of cream and peach, this easygoing <em>yellow</em> brings an effortless glow to a space.', 'PrimaryColorFamily': '<em>Yellow</em>'}",62423e05196a67c884896928,2152-50,Light,Warm,EFDDB5,Golden Straw,Peach,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-053-soleil-AF-330-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/af-330/soleil,"['Soleil', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/af-330/soleil,2024-07-21T20:28:18Z,Soleil AF-330 | Benjamin Moore,2024-07-21T20:28:17Z,Color,"A yellow that paints the picture of bright, golden rays peeking through fluffy clouds.",0d68eb8541ac4235c41c891ec649d8cf9f15b8ee,1,,"{'description': 'A <em>yellow</em> that paints the picture of bright, golden rays peeking through fluffy clouds.', 'PrimaryColorFamily': '<em>Yellow</em>', 'Undertone': '<em>Yellow</em>'}",6241feec64441f7ea70042fe,AF-330,Light,Warm,FCE9BD,Soleil,Yellow,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-054-buttercup-2154-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2154-30/buttercup,"['Buttercup', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2154-30/buttercup,2024-07-21T20:17:56Z,Buttercup 2154-30 | Benjamin Moore,2024-07-21T20:17:56Z,Color,"Like its namesake flower, this yellow-gold can make a big statement even in small amounts.",44818fb3a1551d72b2988c68d6fb98542cc2e9a2,1,,"{'description': 'Like its namesake flower, this <em>yellow</em>-gold can make a big statement even in small amounts.', 'PrimaryColorFamily': '<em>Yellow</em>'}",62423dec28ccbc1164ddb52c,2154-30,Medium,Warm,D5A14B,Buttercup,,Yellow,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-188-golden-retriever-2165-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2165-30/golden-retriever,"['Golden Retriever', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2165-30/golden-retriever,2024-07-21T23:41:41Z,Golden Retriever 2165-30 | Benjamin Moore,2024-07-21T23:41:41Z,Color,"Just like its namesake, this medium golden brown can be relied on for comfort and cheer.",e0bc6c43275dfa99f9517cec32e5721bdb2fa51e,1,,{},62423e0de7b9d2b7d20f589e,2165-30,Medium,Warm,BA8B52,Golden Retriever,,Neutral,,,,,,,,,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/yellow-paint-059-ochre-2151-30-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2151-30/ochre,"['Ochre', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2151-30/ochre,2024-07-30T13:27:04Z,Ochre 2151-30 | Benjamin Moore,2024-07-30T13:27:03Z,Color,"A rich, charismatic gold bathed in earthy olive undertones.",2ebfd53d29a3c521bddce413d51d90b57fd4e7f8,1,,{'Family': '<em>Yellow</em>'},62423df9e7b9d22c9e0f468b,2151-30,,,BB9951,Ochre,,,Moody,"['Cabinet', 'Living Room']",Yellow,Medium,"['Interior', 'Exterior']",true,Color Preview&reg;,Farmhouse,
https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/neutral-paint-183-mystic-gold-HC-37-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-37/mystic-gold,"['Mystic Gold', 'Matching Colors', 'Similar Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-37/mystic-gold,2024-07-21T23:51:30Z,Mystic Gold HC-37 | Benjamin Moore,2024-07-21T23:51:30Z,Color,Deep honey tones define this earthy bronze.,bf2674f6ca8bfc594083e4535c62c9f2ef425824,1,,{'Undertone': '<em>Yellow</em>'},62461b9028ccbc01e3dd99c9,HC-37,Medium,Warm,A7885B,Mystic Gold,Yellow,Neutral,,,,,,,,,
