color_name,color_code,color_fam
White Opulence,OC-69,red
Alabaster,OC-129,red
Gardenia,AF-10,red
Pink Damask,OC-72,red
Sand Dollar,OC-71,red
Whitewater Bay,OC-70,red
Vintage Taupe,2110-70,red
Opal,OC-73,red
Colonial Cream,OC-77,red
Parchment,OC-78,red
Onyx White,OC-74,red
Pristine,OC-75,red
Old Country,OC-76,red
Brandy Cream,OC-4,red
Butter Pecan,OC-89,red
Bare,OC-98,red
Capri Coast,OC-87,red
Evening White,OC-81,red
Antique White,OC-83,red
Old Fashioned Peach,OC-79,red
Pirates Cove Beach,OC-80,red
Cream Froth,OC-97,red
Sugar Cookie,OC-93,red
Ivory Tusk,OC-91,red
Devon Cream,OC-102,red
Pompeii,OC-82,red
Desolate,OC-101,red
Crème Caramel,OC-84,red
White Blush,OC-86,red
Collector's Item,AF-45,red
Indian White,OC-88,red
Deserted Island,OC-99,red
Lambskin,OC-3,red
Muslin,OC-12,red
Cedar Key,OC-16,red
Timid White,OC-39,red
Feather Down,OC-6,red
Maritime White,OC-5,red
Sail Cloth,OC-142,red
Creamy White,OC-7,red
White Sand,OC-10,red
Clay Beige,OC-11,red
Linen White,OC-146,red
Navajo White,OC-95,red
Albescent,OC-40,red
Natural Wicker,OC-1,red
Palace White,OC-100,red
Gentle Cream,OC-96,red
Pale Almond,OC-2,red
Mayonnaise,OC-85,red
Windswept,OC-94,red
Cameo White,OC-147,red
Mannequin Cream,OC-92,red
Antique Lace,OC-104,red
Corinthian White,OC-111,red
Montgomery White,OC-148,red
Mountain Peak White,OC-121,red
White Chocolate,OC-127,red
Vanilla Ice Cream,OC-90,red
Milkyway,OC-110,red
Calming Cream,OC-105,red
Antique Yellow,OC-103,red
Goldtone,OC-112,red
Simply White,OC-117,red
Mascarpone,AF-20,red
Easter Lily,OC-126,red
Powder Sand,OC-113,red
Man on the Moon,OC-106,red
Antiquity,OC-107,red
Pale Moon,OC-108,red
Marble White,OC-34,red
Opaline,OC-33,red
Grand Teton White,OC-132,red
Niveous,OC-36,red
Spanish White,OC-35,red
Lancaster White,OC-144,red
Elephant Tusk,OC-8,red
Steam,AF-15,red
White Dove,OC-17,red
Swiss Coffee,OC-45,red
White Down,OC-131,red
Ballet White,OC-9,red
Fog Mist,OC-31,red
Baby Fawn,OC-15,red
Lacey Pearl,2108-70,red
Calm,OC-22,red
Silver Satin,OC-26,red
Classic Gray,OC-23,red
Pale Oak,OC-20,red
Balboa Mist,OC-27,red
Collingwood,OC-28,red
Cloud White,OC-130,red
Cloud Cover,OC-25,red
Glacier White,OC-37,red
Soft Chamois,OC-13,red
Dove Wing,OC-18,red
Seapearl,OC-19,red
Wind's Breath,OC-24,red
Snowfall White,OC-118,red
Moonlight White,OC-125,red
Floral White,OC-29,red
Old Prairie,OC-42,red
Ashwood,OC-47,red
Natural Cream,OC-14,red
Tapestry Beige,OC-32,red
Cotton Balls,OC-122,red
Bavarian Cream,OC-123,red
Acadia White,OC-38,red
Lemon Chiffon,OC-109,red
Lemon Ice,OC-114,red
Cream Silk,OC-115,red
Pale Celery,OC-116,red
Alpine White,OC-124,red
Minced Onion,OC-128,red
Seashell,OC-120,red
Ancient Ivory,OC-133,red
Cream Cloak,OC-135,red
Celery Salt,OC-136,red
Misty Air,OC-44,red
Paper Mache,AF-25,red
Meadow Mist,OC-134,red
Halo,OC-46,red
Gray Mist,OC-30,red
French Canvas,OC-41,red
Overcast,OC-43,red
Sea Wind,OC-139,red
Icicle,OC-60,red
Cloud Nine,OC-119,red
Sebring White,OC-137,red
White Drifts,OC-138,red
November Rain,OC-50,red
Morning Dew,OC-140,red
Hazy Skies,OC-48,red
Frostine,AF-5,red
Vanilla Milkshake,OC-59,red
Winter White,OC-21,red
Cascade Mountains,862,red
Intense White,OC-51,red
Titanium,OC-49,red
Gray Owl,OC-52,red
Snow White,OC-66,red
Ice Mist,OC-67,red
White Ice,OC-58,red
White Wisp,OC-54,red
Paper White,OC-55,red
Horizon,OC-53,red
Moonshine,OC-56,red
Wedding Veil,2125-70,red
Palest Pistachio,2122-60,red
Marilyn's Dress,2125-60,red
Stone White,2120-70,red
Full Moon,2119-70,red
Tundra,2133-70,red
Genesis White,2134-70,red
Distant Gray,OC-68,red
White Heron,OC-57,red
Chalk White,2126-70,red
Winter Snow,OC-63,red
Misty Gray,2124-60,red
Baby's Breath,OC-62,red
Pure White,OC-64,red
Chantilly Lace,OC-65,red
Super White,OC-152,red
White,OC-151,red
Ultra White,CC-10,red
Brilliant White,OC-150,red
Decorator's White,OC-149,red
White Diamond,OC-61,red
Harwood Putty,CW-5,red
Capitol White,CW-10,red
Parish White,CW-15,red
Geddy White,CW-20,red
Peach Parfait,2175-70,orange
Soft Shell,015,orange
Pale Pink Satin,008,orange
Bermuda Pink,016,orange
Phoenix Sand,017,orange
Pink Polka Dot,004,orange
Picante,006,orange
Bridal Pink,2013-70,orange
Pink Harmony,2013-60,orange
Salmon Peach,2013-50,orange
Pink Paradise,003,orange
Coral Reef,012,orange
Fan Coral,013,orange
Soft Glow,014,orange
Soft White,2170-70,orange
Sunlit Coral,2170-60,orange
