,color_name
0,Easter Bonnet
1,Bunny Nose Pink
2,Exotic Fuchsia
3,Lilac Pink
4,Twilight Magenta
5,Summer Plum
6,Elderberry Wine
7,Charming Pink
8,Passion Pink
9,Pink Taffy
10,Pink Raspberry
11,Pre-Dawn Sky
12,Mulberry
13,Dark Burgundy
14,Rosemist
15,Orleans Violet
16,Cranberry Ice
17,Melrose Pink
18,Vintage Claret
19,Bottle of Bordéaux
20,Radicchio
21,Baby Dreams
22,Misty Rose
23,Countryside Pink
24,Fashion Rose
25,Old Claret
26,Cascabel Chile
27,Bewitched
28,Primrose Petals
29,Sweet Naivete
30,Pink Pansy
31,Begonia
32,Berry Fizz
33,Cranberry Cocktail
34,Raisin Torte
35,I Love You Pink
36,Valentine's Day
37,Pretty Pink
38,Spring Azalea
39,Hot Lips
40,Gypsy Pink
41,Magenta
42,Nursery Pink
43,Dog's Ear
44,Easter Pink
45,Raspberry Mousse
46,Crushed Berries
47,Royal Flush
48,Crushed Velvet
49,Candy Stripe
50,Bermuda Breeze
51,Wild Heart
52,Tropical Rose
53,Razzle Dazzle
54,Pink Corsage
55,Chinaberry
56,Newborn Pink
57,Pink Cherub
58,Pink Begonia
59,Island Sunset
60,Pink Ladies
61,Roseate
62,Pink Peony
63,Pink Petals
64,Rhododendron
65,Springtime Bloom
66,Peony
67,Aztec Lily
68,Rose Garden
69,Strawberry
70,Paradise Pink
71,Royal Fuchsia
72,Raspberry Glaze
73,Night Flower
74,Pink Innocence
75,Damask Rose
76,Rosewood
77,Cherokee Brick
78,Modern Romance
79,Plum Raisin
80,Ruby Dusk
81,50's Pink
82,Posy Pink
83,Bayberry
84,Taste of Berry
85,Gypsy Love
86,Baby Pink
87,Rosy Glow
88,Wild Pink
89,Cherry Wine
90,Raspberry Truffle
91,Classic Burgundy
92,Flush Pink
93,Sweet Taffy
94,Blushing Bride
95,Deep Carnation
96,Rosy Blush
97,Drop Dead Gorgeous
98,Fuchsine
99,Ballerina Pink
100,Pink Lace
101,Pink Ruffle
102,Pink Blossom
