color_name,description
Caliente,"A charismatic, classic shade of red that is radiant and full of energy."
Dinner Party,"A deep, understated red that can be used in everyday spaces, as well as those reserved for special occasions."
New London Burgundy,"A distinguished, deep red with violet undertones."
Million Dollar Red,A signature red for interiors that perfectly balances boldness and understatement.
Garrison Red,Muted yet balanced undertones that go from brick to violet make this an essential red.
Hodley Red,A deep red with versatile undertones that shift from an elegant purple to a comfortable brown.
Brick Red,"Rich, saturated color gives this red decorative appeal, while brown and orange tones bring out its utilitarian side."
Georgian Brick,A foundational reddish brown that looks at home in rustic or sophisticated spaces.
Deep Rose,Subtle russet notes bring out the sophisticated side of this rich shade of red.
Raspberry Blush,"A vivacious shade of coral tinged with pink, this electric hue is the definition of charismatic color."
Red,"A classic, bold red that can add an extravagant touch to the space."
Terra Cotta Tile,"A widely appealing red perfectly calibrated between dramatic and welcoming, rustic and sophisticated."
Brickyard Red,"A red made from naturally occurring iron oxide pigments, reddish-brown Brickyard red has a likable, well-worn quality."
Cochineal Red,"Grown-up and glamorous, this aristocratic shade of deep red was created with red pigments available in the 18th century."
Cornwallis Red,Pure red pigment is the basis for this rich and regal deep red that radiates confidence and grace.
Ladybug Red,A rich shade of true red.
Segovia Red,A hint of brown balances this indulgent shade of red.
Moroccan Red,A glamourous jewel-toned red that commands attention.
Aniline Red,A statement-making red hue with hints of deep violet.
Cottage Red,Deep brownish tones make this a classic barn red color.
Mayflower Red,Orange undertones infuse this red with earthy sophistication.
Red Rock,An earthen red with rich brown undertones.
Smoldering Red,A decadent lipstick red that commands attention.
Tricycle Red,A playful red with a pinkish pop.
Tucson Red,"Warmed by a touch of orange, this earthy red is surprisingly versatile."
Red Parrot,"Warm and rich, breathe energy into any space with this vivacious red."
Hearth Red,"A warm red with subtle hints of brown, this dark hue is warm and inviting."
Ryan Red,A touch of orange gives this saturated red a healthy glow.
Umbria Red,This deep shade of red has a glamorous touch of sophistication.
Milano Red,"Glamorous and versatile, this rich red features a slightly pink cast."
Currant Red,"A rich,  ruddy-like quality defines this deep shade of red."
Heritage Red,A very classic shade of red that infuses a space with energy and personality.
Tomato Red,A radiant orange-red that beams with confidence.
Patriot Red,"A rich, classic red gently muted with brown undertones."
Bricktone Red,An alluring dusty red that is both earthy and elegant.
Red Tulip,A pinkish red bursting with charm and energy.
Neon Red,A classic red enlivened with the lightest trace of orange.
Exotic Red,"A dazzling, primal red that exudes confidence and individuality."
Blushing Red,A showstopping red brightened with a wink of blue.
Carriage Red,"A robust, deep red, this gracious shade was used on the exteriors of Williamsburg homes in the 18th century."
King's Red,"Inspired by paints made with the pigment vermillion, this deep red captures a sense of ceremony and tradition."
Lyons Red,"With its cherry notes, this red shows off a playful sense of style."
Mars Red,"Drawing on the distinctive hue of iron oxide pigments, this deep, earthy red has timeless appeal."
Barn Red,Classic and iconic red color with a hint of black. Exclusive to Woodluxe® stain products.
Watermelon Red,"Softened with a hint of pink, this vibrant red exudes an effortless, relaxed sense of style."
Ravishing Red,"Like a bold party dress, this red-orange conveys confidence and uncompromising style."
Strawberry Red,A classic shade of red that can be taken in a playful or sophisticated direction.
Merlot Red,"With its robust orange notes, this rich red can satisfy even the most sophisticated palates."
Red Oxide,"A mélange of red, brown and orange that captures the intense hue of clay-rich soil."
Navajo Red,"Reminiscent of the American Southwest, this earthy red-orange has the grounding presence of brick and clay."
Pottery Red,"Balancing rich tones of berry and terra-cotta, this versatile red can easily fluctuate between rustic and refined."
Arroyo Red,A highly usable shade of brownish red that evokes the rich clay soil of the desert Southwest.
Nicolson Red,"An earthy deep red, this shade frequently graced the exteriors and interiors of Williamsburg homes, particularly in the first half of the 18th century."
Travers Red,"Seen in 18th century wallpapers, including a fragment recovered from the Robert Carter House, this rich, romantic shade of deep red casts a radiant glow on its surroundings."
China Red,"A color that symbolizes good fortune, this very traditional deep red was developed from a hand-mixed sample using vermillion, a pigment in use since antiquity."
Carter Red,"This rich, rather youthful shade of red mirrors that hue found on a circa 1760 English wallpaper border fragment found in the Robert Carter House."
Bordéaux Red,"This dynamic burgundy features a pronounced note of violet, giving it a rich, refined feel."
Spanish Red,"Infused with earthy orange undertones, this crimson hue conjures fiery sunsets and elegant Spanish tiles."
Laurentian Red,A decadent burgundy with pronounced purple tones.
Somerville Red,"A dusty shade of wine that can envelop a room with a warm, romantic glow."
Boxcar Red,Dusty violet undertones mellow out this elegant rouge.
Ruby Red,A radiant rouge that will turn heads.
Autumn Red,An intense pink that captures the myriad tones of an autumn sunset.
Iron Ore Red,A highly usable red grounded by orange undertones.
Candy Cane Red,A radiant red that glows with festive cheer.
Bull's Eye Red,Orange-pink undertones give this reliable red effortless charm.
Burnt Peanut Red,A shade of brick red with toasty brown undertones.
Maple Leaf Red,An orange-tinged red that echoes the first signs of fall.
Grand Canyon Red,An intense iron oxide red that evokes the natural majesty of the American West.
Palace Arms Red,"A favorite shade on the exteriors of Williamsburg homes before 1750, this rich, regal red is timeless."
New Pilgrim Red,A rich red-brown hue that enriches the natural warmth of wood. Exclusive to Woodluxe® stain products.
Red Point Sand,Rosy pink undertones lend a playful quality to this terracotta hue.
St. George Red,"Named for St. George Tucker, one of Williamsburg's prominent citizens, this circa 1798 color was requested for his house facing Courthouse Green."
Red River Clay,"A perfect marriage between rustic and romantic, this warm, toasted shade of rose is surprisingly versatile."
Parisian Red&reg;,"Entering the historic hotel, the elegant staircase beckoned them with its grandeur."
Country Redwood,An orange-tinged burgundy that captures the earthier side of red.
Redwood,An autumnal blend of red and brown that enhances warm hues from the natural wood.  Exclusive to Woodluxe® stain products.
Hunter Green,A timeless dark green full of depth and elegance.
October Mist,"Evocative of the stem of a flower, this gently shaded sage anchors and uplifts."
Hollingsworth Green,"A feather-light combination of green, blue and gray."
Guilford Green,A gentle green hue with pleasing warm undertones.
Soft Fern,A pleasing pale green misted with gray tones.
Louisburg Green,"Gray undertones give this medium green a cool, muted quality."
Kennebunkport Green,A versatile medium green with a cool gray cast.
Saybrook Sage,A soothing aloe hue cooled with a splash of gray.
Hancock Green,"A fresh, crisp minty green."
Camouflage,"True to its name, this versatile neutral can take on the character of different hues, from gray to sage."
Silken Pine,"A soft, soothing aloe green with a silvery cast."
Urban Nature,A healthy dose of gray enhances the versatility of this medium green.
Green,"Rich and vibrant, this dark green is the ultimate indulgence."
Green Umber,"A light and breezy shade of spring green, this color captures the shade of a naturally occurring green pigment."
Buffett Green,"Though anchored in the 18th century greens found by researchers, this deep, less conventional green makes a fresh, bold design statement."
Dunmore Green,This historic yet high-spirited green is based on the 1770s orders and account books of Lord Botetourt for green wallpaper at the Governor's Palace.
Springtime Green,A sharp spearmint green that commands attention.
Intercoastal Green,A splash of blue invigorates this majestic dark green.
Lakeshore Green,A pale hue beaming with mint green tones.
Embassy Green,An adaptable taupe with the slightest hint of green.
Kensington Green,A refreshing blue-green with calming gray undertones.
Light Green,"A pale yellow-green with a sharp, bright cast."
Glade Green,"Light and breezy, this green has a cleansing quality."
Cambridge Green,"A lush, earthy green shaded with hushed gray tones."
Juniper Green,"A rich, verdant emerald green distinguished by sharp blue undertones."
Raintree Green,A touch of gray mellows out this olive green hue.
Aganthus Green,Chalky gray tones soften this medium celadon green.
Mayan Green,A radiant jade green with a bouncy blue cast.
Desert Green,A light green shaded with hushed gray tones.
Green Wave,"A soft wash of green, this light hue exudes tranquility."
Adirondack Green,"Earthy and subdued, this forest green offers broad versatility."
O'Reilly Green,"A light, yellow-tinged green that almost glows."
Pastel Green,A vivid spearmint green that can instantly awaken a space.
Highlands Green,"A lush, majestic green reminiscent of the Scottish Highlands."
Hannity Green,A refreshing sea blue splashed with a hint of green.
Garland Green,"A pale, chalky green with a pleasing gray cast."
Riverdale Green,A pale hue that glows with yellow and green tones.
Gothic Green,"Dark and shaded, this forest green is full of intrigue."
Neptune Green,A saturated green deepened with a touch of blue.
Peale Green,"An earthy, classic forest green."
Lizard Green,"A no-nonsense, saturated shade of green."
Neon Green,"A bright, intense shade of green."
Baby Green,A delicate green with sweet blue undertones.
Green Gables,A confident green with intriguing teal undertones.
Clover Green,"A rich, dark green with classic appeal."
Yew Green,A lime green illuminated with yellow undertones.
Apple Green,A bright green with comforting yellow undertones.
Basil Green,"A saturated, straightforward shade of green."
Yorktowne Green,"A dark, sophisticated teal with pronounced blue and green undertones."
Fairmont Green,A straightforward green that conjures fresh-cut grass.
Lehigh Green,A grassy green that has the slightest hint of blue.
Waterbury Green,A slate green marked by blue-gray undertones.
Lafayette Green,A stately dark green that sets a dramatic mood.
Sherwood Green,A spirited medium green with just a dash of gray.
Avon Green,"A lush, earthy green shaded with hushed gray tones."
Webster Green,A dark green with a crisp and clean finish.
Galápagos Green,A hint of gray brings a polished finish to this dark moss green.
Hawthorne Green,A light beige delicately shaded with hints of green and yellow.
Iced Green,"A whisper of gray gives this light green a cool, frosty cast."
Dartsmouth Green,"Gently faded, this herbaceous green brings an assured elegance to a space."
Annapolis Green,The slightest trace green comes through in this icy gray-blue.
Glazed Green,"Soft and luminous, this light pistachio green evokes the milky glaze of pottery."
Grecian Green,A muted green that mirrors the soft patina of old relics.
Courtyard Green,"A dark, leafy green that brings to mind a lush garden at dusk."
Soothing Green,"With its gently muted cast, this light pistachio green has a smooth, calming quality."
Richmond Green,"Rich and slightly off kilter, this grassy green evokes the charms of the English countryside."
Springview Green,"Colored with a touch of warm green, this downy hue suffuses a space with tranquility."
Green Cast,"True to its name, this ultra-light hue emanates a cool green glow."
Arlington Green,An intense jade green further deepened with a trace of blue.
Feather Green,A soothing aloe green with a feather-soft touch of gray.
Colony Green,Underneath this light gray hue lies the softest shade of pistachio green.
Fresh Green,"Intense in tone, this minty green has an almost unreal quality."
Woodland Green,"Almost a gray, this mid-tone is shaded with subtle green and blue tones."
Green Frappé,A light-as-air green that resembles a few drops of matcha swirled in milk.
Cheyenne Green,A stylish gray-green reminiscent of fog settling over grassy fields.
Vienna Green,"Warm and mellow, this medium green is subtly evocative of vintage interiors."
Country Green,An eye-pleasing mint green toned down with a trace of gray.
Grenada Green,An easygoing moss green with a hint of creamy yellow undertone.
Aberdeen Green,A touch of chalky gray gives this light green a sophisticated finish.
Crisp Green,"A trace of yellow brings a fresh, fizzy feel to this light green."
Huntington Green,"Rich and earthy, this yellow-green immediately triggers the aroma of rain-soaked moss."
Killala Green,An intense lime green that echoes the otherworldly hues of the Irish landscape.
Calming Green,"Buoyed by hints of blue, this spirited green has an easygoing charm."
Malachy Green,A yellow-green hue that captures the otherworldly intensity of a peridot gem.
Leprechaun Green,An electric shade of lime green that brings a playful jolt to any space.
Sullivan Green,"Although bold, this classic clove green can also have an understated presence."
Nottingham Green,"A touch of blue gives this light mint green a cool, leisurely feel."
Green Tea,A meditative greenish brown that captures the distinctive hue of dried tea leaves.
Rosamilia Green,An unreal shade of jade green that exhibits a sharp blue cast.
Cleveland Green,"A warm mid-tone, this earthen hue features a gentle dose of green in its undertone."
Lido Green,"Delicately colored and shaded, this blue-green exudes an air of tranquility."
G.I. Green,A dark olive green with a touch of yellow.
Willow Green,A dark pea green radiating with golden undertones.
Newt Green,"A lush, earthy green with golden brown undertones."
Minty Green,Bright blue-green tones shine through in this pastel hue.
Salisbury Green,A muted blue-green with prominent gray tones.
Reef Green,"Brightly colored, this dark green has unexpected incandescence."
Timid White,Delicate cream tones make this white a pleasing presence in any room.
Moonlight White,"Silvery green undertones lend a soothing, relaxed quality to this versatile white."
White Blush,"A quiet beauty, this off-white has a slight pink undertone that gives it a soft glow."
Paper White,"Like a fresh sheet of paper, a touch of blue-gray lends a clean, crisp feel to this appealing white."
White Cloud,"Like sunlight bouncing off puffy clouds, this delicate off-white brings a faint glow to the room."
Simply White,"The slightest hint of warmth makes this clean, crisp white a favorite to use anywhere in the home."
